t_sec,x,y,z,solve_ms,best_inliers,n_neighbours
14.906,3.9109,-0.0228,-0.1630,14.526,4,4
15.009,3.9626,-0.0644,-0.1670,15.805,4,4
15.109,3.9542,-0.0736,-0.1960,15.256,4,4
15.208,3.9194,-0.0535,-0.1897,16.015,4,4
15.310,3.9681,-0.0797,-0.2086,17.219,4,4
15.415,3.9470,-0.0498,-0.2153,22.968,4,4
15.504,3.9338,-0.0555,-0.2027,11.467,4,4
15.607,3.9137,-0.0344,-0.2109,11.214,4,4
15.704,3.9404,-0.0475,-0.2138,10.642,4,4
15.804,3.9517,-0.0340,-0.2303,11.944,4,4
15.907,3.9491,-0.0464,-0.2353,14.782,4,4
16.005,3.9143,-0.0626,-0.2177,12.214,4,4
16.108,3.8690,-0.0316,-0.2355,13.731,4,4
16.216,3.8994,-0.0216,-0.2542,22.817,4,4
16.318,3.9165,0.0068,-0.2360,26.403,4,4
16.403,3.9694,-0.0115,-0.2570,9.634,4,4
16.507,3.8841,-0.0095,-0.2719,14.704,4,4
16.609,3.9330,-0.0039,-0.2508,16.614,4,4
16.711,3.9381,-0.0013,-0.2273,15.618,4,4
16.817,3.9328,-0.0011,-0.2439,22.834,4,4
16.904,3.9567,-0.0233,-0.2301,11.487,4,4
17.003,3.9324,-0.0146,-0.2393,11.304,4,4
17.112,3.9460,0.0068,-0.2305,18.042,4,4
17.206,3.9289,-0.0228,-0.2150,10.575,4,4
17.314,3.9187,-0.0086,-0.2000,21.711,4,4
17.406,3.9358,0.0262,-0.2105,14.198,4,4
17.511,3.9448,-0.0077,-0.2124,18.025,4,4
17.615,3.9313,-0.0066,-0.2205,16.721,4,4
17.711,3.9251,0.0245,-0.2295,12.794,4,4
17.824,3.9471,0.0210,-0.2216,17.861,4,4
17.907,3.9547,0.0255,-0.1879,13.272,4,4
18.018,3.9754,0.0035,-0.2221,24.143,4,4
18.116,3.9376,0.0057,-0.2274,22.012,4,4
18.213,3.9816,0.0046,-0.2300,17.222,4,4
18.311,3.9431,0.0263,-0.2268,18.951,4,4
18.406,3.9359,-0.0119,-0.2221,13.940,4,4
18.507,3.9425,-0.0263,-0.2347,13.108,4,4
18.612,3.9307,-0.0413,-0.2190,13.500,4,4
18.715,3.9414,-0.0660,-0.2319,19.288,4,4
18.810,3.9252,-0.0574,-0.2335,15.743,4,4
18.908,3.9456,-0.0218,-0.2487,15.140,4,4
19.013,3.9315,-0.0341,-0.2374,19.086,4,4
19.101,3.9430,-0.0348,-0.2154,8.763,4,4
19.207,3.9834,-0.0552,-0.2293,13.752,4,4
19.305,3.9467,-0.0870,-0.2354,12.613,4,4
19.409,3.9507,-0.0816,-0.1977,17.355,4,4
19.502,3.9456,-0.0794,-0.2122,9.600,4,4
19.614,3.8851,-0.0508,-0.2068,21.193,4,4
19.709,3.9399,-0.0331,-0.2159,15.809,4,4
19.806,3.8874,-0.0440,-0.2117,13.743,4,4
19.910,3.9424,-0.0707,-0.1944,17.845,4,4
20.012,3.9003,-0.0442,-0.2409,16.964,4,4
20.112,3.9164,-0.0395,-0.2158,19.687,4,4
20.214,3.9332,-0.0642,-0.1999,22.337,4,4
20.305,3.8857,-0.0212,-0.2075,13.130,4,4
20.407,3.9179,-0.0439,-0.1969,14.052,4,4
20.510,3.8818,-0.0230,-0.2126,17.609,4,4
20.609,3.9242,-0.0335,-0.1978,16.189,4,4
20.718,3.9274,-0.0207,-0.2011,24.125,4,4
20.810,3.9149,-0.0526,-0.2002,16.869,4,4
20.915,3.9123,-0.0382,-0.2065,22.087,4,4
21.010,3.9339,-0.0347,-0.2031,16.807,4,4
21.105,3.9198,-0.0438,-0.1926,13.337,4,4
21.217,3.9112,-0.0661,-0.1812,24.495,4,4
21.494,3.9296,-0.0398,-0.2071,17.030,4,4
21.526,3.9296,-0.0398,-0.2071,27.285,4,4
21.603,3.8917,0.0030,-0.1980,9.774,4,4
21.705,3.9076,-0.0212,-0.1732,13.038,4,4
21.809,3.9407,-0.0051,-0.1322,17.284,4,4
21.909,3.9609,0.0011,-0.1313,16.092,4,4
22.019,3.9571,-0.0045,-0.1040,23.672,4,4
22.112,3.9417,-0.0140,-0.0971,20.145,4,4
22.206,3.9618,-0.0443,-0.0767,14.249,4,4
22.318,3.9758,-0.0059,-0.0861,24.819,4,4
22.412,3.9689,0.0111,-0.0733,13.590,4,4
22.503,3.9725,0.0030,-0.0698,11.754,4,4
22.611,4.0041,-0.0055,-0.0509,16.972,4,4
22.708,4.0357,-0.0138,-0.0329,15.625,4,4
22.809,4.0043,0.0171,0.0224,16.279,4,4
22.908,4.0081,-0.0094,-0.0241,12.050,4,4
23.026,4.0017,-0.0053,0.0006,30.103,4,4
23.106,4.0214,-0.0012,0.0020,13.951,4,4
23.219,4.0367,0.0091,-0.0250,24.752,4,4
23.316,4.0742,0.0363,-0.0276,22.370,4,4
23.409,4.0301,0.0277,-0.0165,15.927,4,4
23.505,4.0334,0.0297,0.0024,12.560,4,4
23.617,3.9832,0.0424,-0.0188,23.494,4,4
23.720,4.0103,0.0371,-0.0043,27.242,4,4
23.804,3.9931,-0.0109,0.0143,10.503,4,4
23.912,4.0004,0.0042,-0.0033,18.551,4,4
24.003,4.0094,-0.0325,0.0262,8.832,4,4
24.102,3.9526,0.0019,0.0306,10.173,4,4
24.211,3.9910,-0.0127,0.0038,19.295,4,4
24.319,3.9769,-0.0126,-0.0147,24.256,4,4
24.408,3.9930,-0.0214,-0.0278,15.278,4,4
24.507,3.9399,-0.0249,0.0120,14.079,4,4
24.613,3.9223,-0.0018,0.0120,16.743,4,4
24.714,3.9168,-0.0035,0.0175,19.183,4,4
24.810,3.9259,0.0174,0.0070,16.912,4,4
24.911,3.9985,0.0125,0.0024,19.285,4,4
25.010,3.9994,0.0177,0.0073,18.365,4,4
25.109,4.0134,-0.0009,-0.0004,16.251,4,4
25.209,4.0186,0.0254,0.0228,15.546,4,4
25.307,3.9816,0.0278,0.0034,13.073,4,4
25.405,3.9934,0.0254,0.0169,13.148,4,4
25.504,3.9888,0.0264,0.0088,12.120,4,4
25.605,4.0278,-0.0151,0.0047,13.140,4,4
25.710,3.9589,0.0237,0.0148,16.435,4,4
25.810,3.9633,-0.0073,-0.0072,17.022,4,4
25.915,3.9701,0.0011,-0.0327,22.655,4,4
26.005,4.0188,-0.0243,-0.0274,11.677,4,4
26.105,3.9984,-0.0337,-0.0202,12.635,4,4
26.211,4.0145,0.0007,-0.0252,17.693,4,4
26.306,4.0587,-0.0351,-0.0056,14.229,4,4
26.408,4.0698,-0.0181,-0.0389,15.493,4,4
26.504,4.0556,-0.0062,-0.0372,12.143,4,4
26.604,4.0097,0.0073,-0.0253,12.385,4,4
26.704,4.0264,-0.0136,-0.0285,11.682,4,4
26.812,4.0298,-0.0123,-0.0302,17.767,4,4
