t_sec,x,y,z,solve_ms,best_inliers,n_neighbours
15.317,1.8998,-0.2543,-0.0924,14.988,4,4
15.420,1.9388,-0.2328,-0.0830,17.195,4,4
15.511,1.9340,-0.2432,-0.0776,9.598,4,4
15.619,1.9233,-0.2313,-0.0817,17.905,4,4
15.718,1.9550,-0.2381,-0.0886,16.489,4,4
15.818,1.9183,-0.2509,-0.0882,17.666,4,4
15.915,1.9190,-0.2722,-0.0863,12.808,4,4
16.011,1.9074,-0.2781,-0.0615,10.164,4,4
16.115,1.9157,-0.3014,-0.0787,13.311,4,4
16.218,1.9112,-0.2908,-0.0770,16.021,4,4
16.316,1.9080,-0.3200,-0.0718,13.979,4,4
16.413,1.8594,-0.3335,-0.0603,12.098,4,4
16.512,1.8903,-0.3318,-0.0666,10.473,4,4
16.619,1.9235,-0.3419,-0.0788,17.416,4,4
16.715,1.8887,-0.3543,-0.0903,14.013,4,4
16.818,1.9234,-0.3589,-0.0723,15.657,4,4
16.916,1.9236,-0.3829,-0.0722,14.837,4,4
17.024,1.9511,-0.3811,-0.0784,20.503,4,4
17.114,1.9071,-0.3693,-0.0835,12.699,4,4
17.217,1.9025,-0.3933,-0.0628,13.148,4,4
17.316,1.9155,-0.4001,-0.0712,11.448,4,4
17.419,1.9286,-0.4097,-0.0887,17.640,4,4
17.515,1.9045,-0.4086,-0.0638,13.494,4,4
17.615,1.8790,-0.4044,-0.0610,12.608,4,4
17.713,1.8875,-0.4175,-0.0706,10.625,4,4
17.818,1.9015,-0.3862,-0.0621,15.406,4,4
17.918,1.8764,-0.4257,-0.0733,13.925,4,4
18.026,1.8903,-0.4127,-0.0903,24.784,4,4
18.119,1.8940,-0.4159,-0.0762,17.704,4,4
18.218,1.8813,-0.3997,-0.0852,16.044,4,4
18.319,1.8744,-0.4173,-0.1045,13.863,4,4
18.422,1.8401,-0.4273,-0.1009,18.539,4,4
18.518,1.8078,-0.4468,-0.1016,14.225,4,4
18.613,1.7960,-0.4608,-0.0774,11.400,4,4
18.717,1.8135,-0.4745,-0.0814,13.229,4,4
18.816,1.7696,-0.4682,-0.0707,14.371,4,4
18.934,1.7637,-0.4665,-0.0420,28.462,4,4
19.014,1.8023,-0.4562,-0.0492,12.314,4,4
19.124,1.8209,-0.4504,-0.0694,17.743,4,4
19.223,1.8262,-0.4478,-0.0893,15.961,4,4
19.310,1.8097,-0.4596,-0.0798,8.080,4,4
19.421,1.8339,-0.4475,-0.0952,16.524,4,4
19.515,1.8023,-0.4653,-0.1117,12.629,4,4
19.622,1.8311,-0.4568,-0.1289,20.442,4,4
19.717,1.8156,-0.4650,-0.1131,15.092,4,4
19.818,1.8581,-0.4452,-0.1283,15.981,4,4
19.920,1.8133,-0.4547,-0.1089,17.253,4,4
20.023,1.8407,-0.4343,-0.1204,18.230,4,4
20.114,1.8011,-0.4614,-0.1367,12.593,4,4
20.220,1.8118,-0.4468,-0.1222,18.784,4,4
20.314,1.8368,-0.4373,-0.1137,12.686,4,4
20.420,1.8197,-0.4293,-0.1126,17.420,4,4
20.519,1.8494,-0.4290,-0.0971,9.804,4,4
20.612,1.8159,-0.4140,-0.1345,10.747,4,4
20.719,1.8574,-0.4307,-0.1031,12.820,4,4
20.824,1.8619,-0.4144,-0.1138,18.659,4,4
20.917,1.8452,-0.4122,-0.1103,14.674,4,4
21.015,1.8040,-0.4402,-0.1235,13.576,4,4
21.125,1.8852,-0.4229,-0.1171,23.866,4,4
21.223,1.8011,-0.4442,-0.0964,19.226,4,4
21.321,1.8491,-0.4296,-0.1189,19.795,4,4
21.419,1.8491,-0.4269,-0.0958,17.291,4,4
21.517,1.8334,-0.4606,-0.1225,16.102,4,4
21.631,1.8219,-0.4536,-0.1304,28.058,4,4
21.723,1.8229,-0.4423,-0.1290,18.793,4,4
21.817,1.7866,-0.4333,-0.1346,15.365,4,4
21.917,1.8127,-0.4453,-0.1256,14.356,4,4
22.014,1.8219,-0.4669,-0.1264,11.890,4,4
22.118,1.8260,-0.4609,-0.1117,11.558,4,4
22.219,1.8006,-0.4741,-0.1426,18.011,4,4
22.313,1.8346,-0.4192,-0.1246,11.961,4,4
22.427,1.8006,-0.4096,-0.1469,14.729,4,4
22.513,1.8241,-0.4309,-0.1544,10.533,4,4
22.625,1.8115,-0.4494,-0.1463,23.252,4,4
22.719,1.8190,-0.3932,-0.1651,14.665,4,4
22.820,1.7928,-0.3845,-0.1254,18.723,4,4
22.917,1.8482,-0.3849,-0.1634,12.851,4,4
23.010,1.8315,-0.3793,-0.1472,9.584,4,4
23.114,1.8450,-0.4205,-0.1521,12.893,4,4
23.226,1.8628,-0.4079,-0.1429,16.924,4,4
23.319,1.8655,-0.3959,-0.1558,15.833,4,4
23.414,1.8526,-0.4256,-0.1650,10.704,4,4
23.517,1.8577,-0.3978,-0.1684,14.615,4,4
23.616,1.8900,-0.4040,-0.1436,13.965,4,4
23.713,1.8929,-0.4126,-0.1483,10.876,4,4
23.819,1.8210,-0.4219,-0.1546,11.914,4,4
23.909,1.8153,-0.4296,-0.1502,8.028,4,4
24.012,1.9044,-0.3998,-0.1448,10.562,4,4
24.116,1.8277,-0.4215,-0.1525,14.592,4,4
24.220,1.8146,-0.4390,-0.1783,18.476,4,4
24.318,1.8639,-0.4298,-0.1596,15.812,4,4
24.423,1.8633,-0.4510,-0.1483,22.048,4,4
24.523,1.8717,-0.4461,-0.1385,21.408,4,4
24.615,1.9003,-0.4203,-0.1297,14.103,4,4
24.717,1.8914,-0.4200,-0.1493,13.353,4,4
24.822,1.8929,-0.4329,-0.1424,17.492,4,4
24.913,1.9194,-0.4160,-0.1614,11.324,4,4
25.014,1.9203,-0.4177,-0.1917,12.393,4,4
25.127,1.9021,-0.4227,-0.2045,21.764,4,4
25.226,1.8657,-0.4424,-0.1913,19.710,4,4
25.312,1.9375,-0.4553,-0.1827,11.015,4,4
25.421,1.9207,-0.4871,-0.1864,17.749,4,4
25.519,1.8991,-0.4477,-0.1736,16.015,4,4
25.617,1.9180,-0.4513,-0.1792,15.905,4,4
25.720,1.9139,-0.4589,-0.1773,19.145,4,4
25.817,1.9014,-0.4704,-0.1601,14.496,4,4
25.916,1.9114,-0.4468,-0.1821,14.900,4,4
26.023,1.8969,-0.4223,-0.1686,21.174,4,4
26.133,1.8749,-0.4413,-0.1610,30.998,4,4
26.215,1.8230,-0.4300,-0.1713,13.651,4,4
26.317,1.8732,-0.4039,-0.1694,16.136,4,4
26.417,1.8420,-0.4409,-0.1428,13.669,4,4
26.512,1.8668,-0.4091,-0.1540,10.739,4,4
26.614,1.8343,-0.3934,-0.1406,12.905,4,4
26.720,1.8518,-0.3714,-0.1302,18.641,4,4
26.814,1.8329,-0.3499,-0.1182,12.796,4,4
26.926,1.8294,-0.3530,-0.1136,21.189,4,4
27.013,1.8438,-0.3560,-0.1156,10.475,4,4
27.127,1.8444,-0.3471,-0.1336,24.577,4,4
27.234,1.8398,-0.3828,-0.1450,29.995,4,4
27.322,1.8234,-0.3907,-0.1413,16.644,4,4
27.416,1.8472,-0.3430,-0.1210,12.160,4,4
27.517,1.8436,-0.3516,-0.1307,15.454,4,4
27.619,1.8409,-0.3952,-0.1411,17.683,4,4
27.717,1.8555,-0.3796,-0.1350,14.412,4,4
27.820,1.9182,-0.3758,-0.1144,17.448,4,4
27.915,1.9078,-0.3869,-0.1047,13.636,4,4
28.011,1.9135,-0.3559,-0.1438,9.712,4,4
28.120,1.9095,-0.4000,-0.1288,18.082,4,4
28.216,1.9431,-0.3355,-0.1295,14.214,4,4
28.328,1.9422,-0.3413,-0.1209,24.729,4,4
28.420,1.9279,-0.3461,-0.1022,18.500,4,4
28.515,1.9441,-0.3367,-0.1036,13.434,4,4
28.626,1.9549,-0.3843,-0.0867,18.541,4,4
28.714,1.9517,-0.3798,-0.1043,12.259,4,4
28.824,1.9716,-0.3880,-0.1054,22.958,4,4
28.911,1.9839,-0.3993,-0.1155,9.602,4,4
29.028,1.9358,-0.4132,-0.1020,26.244,4,4
29.130,1.9590,-0.4102,-0.1063,29.004,4,4
29.216,1.9046,-0.4200,-0.1016,13.986,4,4
29.320,1.9179,-0.4005,-0.0874,16.468,4,4
29.419,1.9017,-0.3873,-0.0668,16.435,4,4
29.520,1.9074,-0.4072,-0.0725,18.611,4,4
29.610,1.9236,-0.3723,-0.0611,9.364,4,4
29.715,1.9181,-0.3848,-0.0516,13.261,4,4
29.820,1.8650,-0.4197,-0.0635,12.784,4,4
29.910,1.9322,-0.4257,-0.0817,7.707,4,4
30.010,1.8852,-0.3816,-0.0919,8.748,4,4
30.121,1.8972,-0.4069,-0.1009,18.455,4,4
30.212,1.8833,-0.4038,-0.1062,11.235,4,4
30.317,1.9226,-0.4095,-0.1162,11.472,4,4
30.420,1.9194,-0.3973,-0.1204,16.345,4,4
30.515,1.9279,-0.3768,-0.1364,12.371,4,4
30.616,1.9288,-0.4003,-0.1282,13.949,4,4
30.722,1.8845,-0.4103,-0.1282,20.457,4,4
30.817,1.8892,-0.3769,-0.1193,14.133,4,4
30.917,1.8576,-0.4035,-0.1036,15.368,4,4
31.020,1.8428,-0.3555,-0.1158,18.292,4,4
31.116,1.8645,-0.3676,-0.1185,11.733,4,4
31.212,1.8333,-0.3519,-0.1138,10.549,4,4
31.321,1.8564,-0.3733,-0.1020,17.924,4,4
31.419,1.8084,-0.4085,-0.1083,17.114,4,4
31.519,1.8390,-0.3880,-0.0877,16.553,4,4
31.622,1.8250,-0.3951,-0.0958,18.746,4,4
31.721,1.8657,-0.3767,-0.0760,16.148,4,4
31.819,1.8816,-0.3637,-0.0754,17.850,4,4
31.928,1.8220,-0.3773,-0.0602,26.188,4,4
32.015,1.8568,-0.3480,-0.0661,12.965,4,4
32.114,1.8526,-0.3747,-0.0663,9.281,4,4
32.215,1.8888,-0.3642,-0.0332,13.518,4,4
32.316,1.8374,-0.3689,-0.0223,13.859,4,4
32.419,1.7898,-0.3784,-0.0289,17.959,4,4
32.515,1.8190,-0.3605,-0.0317,13.497,4,4
32.617,1.8526,-0.4013,-0.0418,14.861,4,4
32.716,1.8262,-0.4082,-0.0343,14.544,4,4
32.814,1.8501,-0.4073,-0.0407,11.931,4,4
32.918,1.8529,-0.4167,-0.0292,16.774,4,4
33.020,1.8507,-0.4045,-0.0207,13.680,4,4
33.114,1.7725,-0.4350,-0.0017,12.568,4,4
33.215,1.8272,-0.4421,0.0020,13.825,4,4
33.313,1.8120,-0.4594,0.0149,10.649,4,4
33.413,1.8579,-0.4996,0.0175,11.117,4,4
33.515,1.8818,-0.4452,-0.0026,12.003,4,4
33.617,1.8850,-0.4569,0.0122,11.130,4,4
33.719,1.8399,-0.4399,0.0173,15.781,4,4
33.813,1.8567,-0.4483,0.0131,11.949,4,4
33.917,1.8646,-0.4660,-0.0009,15.813,4,4
34.014,1.8839,-0.4669,-0.0016,10.595,4,4
34.119,1.8821,-0.4496,-0.0104,16.767,4,4
34.213,1.9015,-0.4412,-0.0003,11.492,4,4
34.314,1.8723,-0.4593,0.0062,12.853,4,4
34.420,1.8466,-0.4749,-0.0104,13.428,4,4
34.515,1.8429,-0.4382,0.0034,13.866,4,4
34.620,1.8479,-0.4478,0.0095,17.144,4,4
34.721,1.8346,-0.4315,0.0141,15.517,4,4
34.820,1.8011,-0.4298,-0.0003,14.394,4,4
34.920,1.8137,-0.4442,0.0080,18.181,4,4
35.017,1.8631,-0.4177,0.0043,15.787,4,4
35.116,1.8065,-0.4445,0.0138,15.028,4,4
35.211,1.8085,-0.4283,0.0010,9.863,4,4
35.326,1.8246,-0.4405,0.0112,24.997,4,4
35.417,1.8553,-0.3939,0.0003,13.403,4,4
35.517,1.8137,-0.4251,-0.0029,14.006,4,4
35.619,1.8475,-0.4081,0.0071,18.044,4,4
35.720,1.8207,-0.4182,0.0320,19.289,4,4
35.819,1.8291,-0.3960,0.0518,17.234,4,4
35.915,1.8369,-0.3930,0.0509,13.297,4,4
36.022,1.8237,-0.4041,0.0760,15.042,4,4
36.117,1.8311,-0.4221,0.0944,16.085,4,4
36.211,1.8107,-0.3929,0.0772,8.368,4,4
36.315,1.8322,-0.4125,0.0816,13.525,4,4
36.418,1.8405,-0.4092,0.0768,16.857,4,4
36.515,1.8500,-0.4279,0.0813,13.496,4,4
36.623,1.8390,-0.4019,0.1017,21.699,4,4
36.718,1.8331,-0.4178,0.0963,14.543,4,4
36.815,1.8493,-0.4236,0.1081,11.183,4,4
36.918,1.9001,-0.3963,0.1229,16.357,4,4
37.008,1.8522,-0.4074,0.1237,6.996,4,4
37.110,1.8288,-0.4271,0.1162,7.788,4,4
37.213,1.8349,-0.4154,0.1058,11.508,4,4
37.320,1.8017,-0.3917,0.1107,17.424,4,4
37.414,1.8557,-0.4038,0.1057,12.578,4,4
37.520,1.8038,-0.3835,0.1096,18.143,4,4
37.614,1.8077,-0.3981,0.1073,12.791,4,4
37.714,1.8235,-0.3922,0.1178,13.391,4,4
37.816,1.8465,-0.3577,0.1001,14.401,4,4
37.923,1.8298,-0.3539,0.0850,21.163,4,4
38.016,1.8025,-0.3802,0.0814,14.931,4,4
38.115,1.7972,-0.3444,0.0910,12.997,4,4
38.213,1.8141,-0.3408,0.0888,10.707,4,4
38.311,1.7512,-0.3702,0.1259,9.139,4,4
38.421,1.8237,-0.3575,0.1187,18.677,4,4
38.510,1.8127,-0.3395,0.1164,9.265,4,4
38.611,1.8127,-0.3804,0.1308,9.855,4,4
38.717,1.7931,-0.3459,0.1194,13.201,4,4
38.820,1.7747,-0.3510,0.1419,15.416,4,4
38.918,1.7944,-0.3510,0.1126,12.811,4,4
39.017,1.7641,-0.3776,0.1470,15.447,4,4
39.115,1.7718,-0.3791,0.1508,13.763,4,4
39.216,1.7364,-0.3828,0.1214,12.958,4,4
39.321,1.7545,-0.3649,0.1276,14.454,4,4
39.424,1.7419,-0.3432,0.1258,16.736,4,4
39.514,1.7585,-0.3341,0.1041,11.587,4,4
39.619,1.7274,-0.3764,0.1269,16.949,4,4
39.719,1.7365,-0.3567,0.1226,14.554,4,4
39.819,1.7405,-0.3682,0.1437,16.754,4,4
39.912,1.7540,-0.3497,0.1160,10.817,4,4
40.020,1.6932,-0.3433,0.1082,18.479,4,4
40.116,1.7186,-0.3497,0.1063,13.692,4,4
40.212,1.7423,-0.3560,0.1197,10.991,4,4
40.314,1.7795,-0.3516,0.1429,10.810,4,4
40.426,1.7927,-0.3423,0.1338,21.780,4,4
40.520,1.7850,-0.3775,0.1166,17.960,4,4
40.616,1.7920,-0.3526,0.1310,10.211,4,4
40.719,1.8105,-0.3589,0.0824,18.012,4,4
40.814,1.8161,-0.3508,0.1113,11.011,4,4
40.914,1.7958,-0.3508,0.0971,11.163,4,4
41.020,1.8194,-0.3451,0.1010,18.461,4,4
41.110,1.8373,-0.3718,0.1076,8.875,4,4
41.217,1.8528,-0.3757,0.1215,13.403,4,4
41.320,1.8412,-0.3604,0.1003,13.534,4,4
41.414,1.8136,-0.3837,0.1152,12.037,4,4
41.520,1.8041,-0.3981,0.0903,18.571,4,4
41.616,1.8495,-0.3647,0.0893,14.402,4,4
41.716,1.8281,-0.3745,0.0866,14.469,4,4
41.822,1.8397,-0.3913,0.1079,19.463,4,4
41.913,1.8770,-0.3880,0.1117,11.936,4,4
42.023,1.8559,-0.4185,0.0981,21.003,4,4
42.114,1.8439,-0.3843,0.0955,11.950,4,4
42.215,1.8858,-0.3957,0.0934,13.235,4,4
42.314,1.8853,-0.4216,0.0838,8.868,4,4
42.415,1.8705,-0.4361,0.0896,13.681,4,4
42.512,1.9268,-0.4365,0.0743,11.356,4,4
42.618,1.9149,-0.4291,0.0465,14.282,4,4
42.712,1.8949,-0.4052,0.0553,10.309,4,4
42.817,1.9160,-0.3696,0.0422,16.126,4,4
42.920,1.8634,-0.3917,0.0273,19.167,4,4
43.028,1.9302,-0.3599,0.0085,18.886,4,4
43.117,1.8909,-0.3857,0.0250,13.927,4,4
43.221,1.8841,-0.4084,0.0057,16.098,4,4
43.316,1.9359,-0.3873,-0.0119,11.657,4,4
43.411,1.8697,-0.4286,0.0251,10.640,4,4
43.521,1.9036,-0.3871,0.0079,19.312,4,4
43.617,1.9296,-0.3870,-0.0089,12.913,4,4
43.721,1.9127,-0.3940,-0.0004,18.424,4,4
43.819,1.9227,-0.3974,-0.0202,15.017,4,4
43.917,1.8880,-0.4308,-0.0055,12.873,4,4
44.019,1.9023,-0.4204,-0.0192,18.199,4,4
44.116,1.9034,-0.4387,-0.0353,13.066,4,4
44.214,1.8772,-0.4404,-0.0158,11.810,4,4
44.320,1.8959,-0.4581,-0.0042,17.611,4,4
44.412,1.9251,-0.4351,-0.0338,11.278,4,4
44.515,1.9099,-0.4121,-0.0071,14.220,4,4
44.614,1.8908,-0.4070,-0.0082,11.505,4,4
44.711,1.8709,-0.4330,-0.0169,8.318,4,4
44.821,1.8888,-0.4458,-0.0081,19.893,4,4
44.917,1.8820,-0.4446,-0.0268,12.619,4,4
45.027,1.9201,-0.4227,-0.0231,12.973,4,4
45.116,1.9084,-0.3935,-0.0269,14.737,4,4
45.212,1.8744,-0.4051,-0.0454,11.108,4,4
45.312,1.9011,-0.3628,-0.0171,9.417,4,4
45.417,1.8707,-0.3651,0.0121,15.704,4,4
45.529,1.8704,-0.3710,-0.0052,16.901,4,4
45.613,1.8676,-0.3576,-0.0062,11.411,4,4
45.712,1.8801,-0.3915,-0.0103,10.566,4,4
45.815,1.8651,-0.3796,-0.0246,10.987,4,4
45.915,1.8803,-0.3831,0.0030,13.179,4,4
46.015,1.8591,-0.3829,-0.0067,9.689,4,4
46.125,1.8980,-0.3505,-0.0334,20.596,4,4
46.222,1.8914,-0.3627,-0.0092,20.287,4,4
46.314,1.8988,-0.3717,0.0014,11.764,4,4
46.420,1.8461,-0.3491,-0.0279,12.280,4,4
46.517,1.8655,-0.3754,-0.0168,12.897,4,4
46.616,1.8360,-0.3494,-0.0233,14.840,4,4
46.714,1.8626,-0.3543,-0.0256,12.928,4,4
46.818,1.9117,-0.3725,-0.0467,14.825,4,4
46.919,1.8827,-0.3724,-0.0368,14.931,4,4
47.017,1.8790,-0.3833,-0.0325,15.485,4,4
47.117,1.8733,-0.3881,-0.0406,13.209,4,4
47.215,1.8800,-0.3983,-0.0431,11.997,4,4
47.328,1.8860,-0.3790,-0.0176,26.593,4,4
47.418,1.9049,-0.3919,-0.0225,14.669,4,4
47.519,1.9393,-0.3842,-0.0115,14.639,4,4
47.617,1.9278,-0.4153,0.0049,15.719,4,4
47.717,1.9454,-0.4036,0.0152,15.155,4,4
47.816,1.9229,-0.4011,-0.0331,14.211,4,4
47.920,1.9378,-0.4105,0.0004,17.860,4,4
48.012,1.9578,-0.4110,0.0074,10.493,4,4
48.115,1.9934,-0.3928,0.0018,11.331,4,4
48.224,1.9786,-0.3990,-0.0128,20.649,4,4
48.315,2.0056,-0.3767,-0.0160,12.257,4,4
48.416,2.0066,-0.3976,-0.0207,14.205,4,4
48.520,1.9855,-0.3725,0.0088,18.784,4,4
48.615,2.0106,-0.4078,-0.0190,13.299,4,4
48.710,2.0094,-0.4003,0.0169,8.714,4,4
48.823,2.0269,-0.4005,0.0364,22.016,4,4
48.918,1.9895,-0.3926,0.0635,15.729,4,4
49.014,1.9874,-0.4085,0.0304,12.568,4,4
