t_sec,x,y,z,solve_ms,n_zero_weights
16.106,1.8189,1.9744,-0.0072,3.442,0
16.208,1.7902,1.9794,0.0027,6.846,0
16.304,1.8203,1.9529,0.0233,2.264,0
16.404,1.7672,1.9475,-0.0042,2.590,0
16.504,1.7577,1.9393,0.0106,2.585,0
16.603,1.7432,1.9248,-0.0077,2.362,0
16.708,1.7256,1.9289,-0.0293,5.088,0
16.803,1.7631,1.9389,-0.0036,2.497,0
16.904,1.7781,1.8997,-0.0101,3.029,0
17.004,1.8146,1.8953,0.0257,3.158,0
17.103,1.8110,1.8916,0.0178,2.475,0
17.204,1.7944,1.8988,0.0019,3.077,0
17.309,1.8140,1.8713,0.0289,5.967,0
17.412,1.8562,1.8775,0.0179,9.395,0
17.512,1.8196,1.8570,0.0270,9.153,0
17.605,1.8303,1.8539,0.0180,3.529,0
17.706,1.8078,1.8827,0.0157,4.166,0
17.806,1.8727,1.8849,0.0188,4.605,0
17.906,1.9174,1.8544,0.0210,3.590,0
18.008,1.8992,1.9263,0.0255,4.649,0
18.106,1.8561,1.8672,0.0336,4.910,0
18.206,1.8795,1.9098,0.0511,3.036,0
18.304,1.8650,1.8977,0.0199,2.806,0
18.405,1.8509,1.8894,0.0329,3.841,0
18.506,1.8399,1.8510,0.0567,4.084,0
18.603,1.8724,1.8752,0.0491,2.225,0
18.703,1.8539,1.8680,0.0654,2.111,0
18.805,1.8709,1.8747,0.0349,1.978,0
18.906,1.8968,1.8854,0.0593,3.180,0
19.008,1.8560,1.8714,0.0320,7.022,0
19.105,1.8355,1.8898,0.0425,3.636,0
19.204,1.8214,1.8556,0.0165,3.004,0
19.304,1.8099,1.8712,0.0275,3.079,0
19.405,1.8132,1.8838,0.0397,3.866,0
19.506,1.8264,1.9222,0.0440,4.010,0
19.604,1.8423,1.9135,0.0438,3.195,0
19.705,1.8118,1.9342,0.0135,3.829,0
19.808,1.8232,1.9264,0.0070,5.150,0
19.906,1.7812,1.9541,0.0180,4.505,0
20.005,1.8476,1.9335,-0.0153,3.989,0
20.103,1.8272,1.9484,0.0168,2.186,0
20.205,1.7881,1.9424,0.0020,3.222,0
20.305,1.8508,1.9492,-0.0004,3.837,0
20.403,1.8430,1.9572,0.0155,2.455,0
20.504,1.8701,1.9382,0.0237,2.612,0
20.604,1.8114,1.9469,0.0168,2.882,0
20.704,1.8037,1.9688,0.0129,3.146,0
20.804,1.8131,1.9680,0.0023,3.226,0
20.904,1.8269,1.9782,0.0185,3.076,0
21.005,1.8240,1.9673,0.0346,3.241,0
21.103,1.8449,1.9877,0.0517,2.179,0
21.208,1.8182,1.9929,0.0838,3.451,0
21.303,1.8405,1.9715,0.0963,2.199,0
21.411,1.8217,1.9819,0.1106,7.600,0
21.503,1.8236,1.9543,0.0968,2.654,0
21.604,1.8313,1.9990,0.1265,2.771,0
21.706,1.8127,1.9923,0.1029,5.083,0
21.806,1.8593,1.9906,0.0953,4.439,0
21.903,1.9020,2.0123,0.0994,2.494,0
22.003,1.9309,2.0010,0.1108,2.277,0
22.103,1.8925,2.0416,0.0918,2.594,0
22.203,1.9286,2.0112,0.1121,2.531,0
22.303,1.9260,2.0079,0.0937,1.917,0
22.412,1.9207,2.0125,0.1140,8.504,0
22.515,1.8995,1.9835,0.0869,10.826,0
22.607,1.8947,2.0213,0.0959,4.570,0
22.705,1.8928,2.0025,0.0913,3.551,0
22.806,1.9188,1.9861,0.0871,4.390,0
22.904,1.9067,1.9749,0.0821,2.917,0
23.005,1.9618,1.9595,0.0853,3.670,0
23.107,1.9502,1.9674,0.0941,4.759,0
23.205,1.9457,1.9687,0.0999,3.523,0
23.309,1.9822,1.9671,0.1101,5.551,0
23.403,1.9774,1.9250,0.1142,1.827,0
23.502,1.9704,1.9510,0.1264,1.418,0
23.603,1.9307,1.9509,0.1319,2.229,0
23.704,1.9818,1.9257,0.1098,2.630,0
23.804,1.9885,1.8858,0.1070,2.854,0
23.906,1.9402,1.8920,0.0899,4.795,0
24.004,1.9362,1.8261,0.0813,2.116,0
24.104,1.9492,1.8706,0.1113,2.497,0
24.204,1.9674,1.8567,0.1123,2.937,0
24.304,1.9823,1.9132,0.1176,2.769,0
24.404,1.9234,1.8908,0.1050,2.643,0
24.505,1.9409,1.8933,0.1201,3.146,0
24.606,1.9213,1.8675,0.0876,4.084,0
24.705,1.9321,1.8498,0.1046,3.690,0
24.803,1.9406,1.8331,0.1094,1.917,0
24.906,1.9648,1.8047,0.1088,4.713,0
25.003,1.9781,1.8096,0.1112,1.835,0
25.104,1.9500,1.7749,0.1197,3.259,0
