t_sec,x,y,z,solve_ms,n_zero_weights
16.806,3.7398,2.0050,0.1554,4.213,0
16.906,3.7134,2.0100,0.1601,2.935,0
17.004,3.7512,1.9658,0.1790,2.650,0
17.105,3.7716,1.9765,0.1709,3.617,0
17.208,3.7449,1.9472,0.1623,6.911,0
17.303,3.7741,1.9518,0.1519,2.355,0
17.405,3.7413,1.9585,0.1463,2.730,0
17.504,3.7484,1.9842,0.1167,2.582,0
17.606,3.7027,1.9529,0.1280,3.987,0
17.708,3.7646,1.9728,0.1033,6.053,0
17.805,3.6974,1.9398,0.1153,2.237,0
17.908,3.7787,1.9843,0.1110,5.792,0
18.005,3.7582,1.9560,0.0970,3.575,0
18.105,3.8083,1.9752,0.1407,3.517,0
18.205,3.7695,1.9823,0.1145,4.037,0
18.305,3.7939,1.9829,0.1311,3.864,0
18.414,3.7711,1.9619,0.1535,7.962,0
18.505,3.8161,1.9717,0.0897,2.853,0
18.609,3.7816,1.9707,0.1075,6.002,0
18.706,3.8342,1.9952,0.1092,2.692,0
18.806,3.7955,1.9665,0.1354,3.059,0
18.904,3.7922,1.9650,0.1113,3.114,0
19.004,3.7703,1.9747,0.1010,2.758,0
19.103,3.7972,1.9636,0.1192,2.295,0
19.206,3.7653,1.9322,0.1184,4.918,0
19.305,3.8219,1.9904,0.1007,3.476,0
19.404,3.7825,1.9802,0.1169,3.379,0
19.504,3.8146,2.0114,0.0858,2.465,0
19.604,3.7919,1.9785,0.1134,2.971,0
19.705,3.7899,1.9789,0.1096,4.151,0
19.804,3.7782,1.9800,0.1253,3.310,0
19.904,3.7684,1.9869,0.1253,2.976,0
20.005,3.8063,1.9966,0.0888,2.645,0
20.111,3.8261,2.0001,0.1076,8.130,0
20.205,3.8184,2.0331,0.0996,3.912,0
20.310,3.7953,2.0118,0.1144,5.857,0
20.404,3.7992,2.0322,0.1085,3.028,0
20.504,3.7992,1.9808,0.0994,2.838,0
20.605,3.7709,1.9663,0.1003,2.896,0
20.707,3.7396,1.9689,0.1123,5.143,0
20.804,3.7431,1.9737,0.1079,2.940,0
20.904,3.7511,1.9684,0.0916,3.390,0
21.004,3.7731,2.0291,0.0918,2.601,0
21.106,3.7983,2.0145,0.1000,5.150,0
21.206,3.8091,2.0044,0.1077,2.760,0
21.311,3.7760,2.0150,0.0813,9.907,0
21.405,3.8027,2.0041,0.0966,3.612,0
21.504,3.7659,1.9776,0.0856,3.328,0
21.603,3.7735,1.9802,0.0910,2.403,0
21.704,3.8027,1.9767,0.1047,2.600,0
21.808,3.8189,1.9934,0.1076,5.752,0
21.905,3.8225,2.0051,0.0898,4.054,0
22.010,3.7890,1.9779,0.0923,6.705,0
22.105,3.8238,2.0120,0.0970,4.225,0
22.209,3.8131,1.9911,0.0854,2.902,0
22.305,3.7959,2.0331,0.0972,3.577,0
22.403,3.8111,2.0177,0.1034,2.198,0
22.507,3.8343,2.0190,0.1007,4.328,0
22.603,3.8240,2.0339,0.0926,2.276,0
22.706,3.8166,2.0263,0.0790,2.739,0
22.804,3.7619,2.0299,0.0872,2.830,0
22.907,3.8056,2.0193,0.1051,2.660,0
