t_sec,x,y,z,solve_ms,n_zero_weights
12.203,0.0770,0.0523,-0.2963,2.463,0
12.303,0.0747,0.0541,-0.2871,2.213,0
12.404,0.1033,0.0736,-0.2770,3.027,0
12.509,0.0742,0.0779,-0.3100,4.934,0
12.604,0.0642,0.0534,-0.3135,3.373,0
12.703,0.1255,0.0627,-0.3196,2.378,0
12.805,0.0042,0.0495,-0.3330,4.206,0
12.905,0.0063,0.0576,-0.2969,3.607,0
13.005,-0.0041,0.0616,-0.3289,4.044,0
13.104,0.0039,0.0590,-0.2884,2.577,0
13.207,-0.0921,0.0507,-0.3025,5.369,0
13.306,-0.0714,0.0368,-0.2752,3.440,0
13.403,-0.0319,0.0217,-0.2908,2.025,0
13.505,-0.0587,0.0033,-0.3001,3.640,0
13.606,-0.0018,0.0138,-0.3130,3.348,0
13.704,-0.0383,0.0198,-0.3275,2.639,0
13.807,-0.0472,0.0152,-0.3152,4.925,0
13.904,-0.0567,0.0288,-0.3165,3.189,0
14.003,-0.0123,0.0260,-0.3231,2.159,0
14.103,0.0084,0.0083,-0.3408,1.663,0
14.206,0.0119,0.0323,-0.3184,3.011,0
14.303,0.0037,0.0151,-0.3355,2.068,0
14.404,0.0260,0.0359,-0.3224,2.843,0
14.505,0.0109,0.0157,-0.3350,3.666,0
14.605,0.0120,0.0018,-0.2785,3.253,0
14.709,0.0008,-0.0168,-0.2775,3.870,0
14.804,-0.0335,-0.0286,-0.2922,2.187,0
14.903,0.0087,-0.0348,-0.2937,2.356,0
15.010,-0.0009,-0.0188,-0.2887,4.643,0
15.105,-0.0167,-0.0510,-0.2659,2.288,0
15.204,0.0291,-0.0320,-0.3012,3.149,0
15.305,-0.0243,-0.0431,-0.2702,2.552,0
15.406,0.0389,-0.0431,-0.2648,2.991,0
15.505,0.0495,-0.0398,-0.2574,3.326,0
15.604,0.0090,-0.0390,-0.2662,3.229,0
15.703,0.0355,-0.0444,-0.2733,1.966,0
15.804,0.0029,-0.0747,-0.2490,2.986,0
15.903,0.0248,-0.0776,-0.2709,2.372,0
16.003,0.0702,-0.0564,-0.2623,2.114,0
16.105,0.0476,-0.0799,-0.2327,3.427,0
16.203,0.0508,-0.0611,-0.2084,2.190,0
16.304,0.0359,-0.0556,-0.2237,3.199,0
16.407,0.0436,-0.0736,-0.2269,5.396,0
16.503,-0.0016,-0.0803,-0.2103,2.517,0
16.604,0.0210,-0.0705,-0.2287,2.504,0
16.703,0.0503,-0.0774,-0.2055,2.391,0
16.806,0.0527,-0.0675,-0.1878,4.428,0
16.904,-0.0380,-0.1057,-0.2061,3.029,0
17.004,0.0003,-0.0649,-0.2006,2.841,0
17.104,0.0473,-0.0702,-0.2071,3.088,0
17.205,0.0114,-0.0638,-0.2150,3.818,0
17.304,-0.0001,-0.0683,-0.2089,3.303,0
17.404,0.0307,-0.0849,-0.2328,3.020,0
17.504,0.0357,-0.0785,-0.2353,2.898,0
17.604,0.0082,-0.0823,-0.2200,3.073,0
17.703,0.0138,-0.0896,-0.2018,1.760,0
17.804,0.0566,-0.0784,-0.1904,2.795,0
17.907,0.0653,-0.0766,-0.1719,4.648,0
18.004,0.0207,-0.0958,-0.1509,2.761,0
18.104,-0.0215,-0.0918,-0.1536,2.133,0
18.204,-0.0194,-0.1236,-0.1800,3.087,0
18.304,-0.0340,-0.1152,-0.1504,3.130,0
18.405,-0.0053,-0.1259,-0.1467,3.255,0
18.504,-0.0021,-0.1212,-0.1596,2.368,0
18.604,0.0230,-0.1243,-0.1776,3.109,0
18.704,-0.0002,-0.1206,-0.1584,2.623,0
18.804,-0.0161,-0.1186,-0.1408,3.142,0
18.904,-0.0076,-0.1136,-0.1312,2.432,0
19.005,-0.0078,-0.1018,-0.1133,2.478,0
19.104,-0.0242,-0.1041,-0.1056,3.420,0
19.205,-0.0185,-0.0866,-0.0942,2.172,0
19.303,0.0442,-0.0606,-0.0911,2.279,0
19.405,0.0716,-0.0675,-0.0918,3.400,0
