t_sec,x,y,z,solve_ms,n_zero_weights
15.806,1.8739,2.0502,-0.0266,4.268,0
15.906,1.8995,2.0573,-0.0234,3.980,0
16.007,1.8569,2.0197,-0.0002,4.327,0
16.104,1.8987,2.0692,0.0032,2.451,0
16.206,1.8886,2.0267,-0.0136,4.677,0
16.306,1.8466,2.0535,0.0024,4.120,0
16.405,1.8711,2.0570,-0.0024,3.305,0
16.505,1.8756,2.0319,-0.0078,3.447,0
16.605,1.9109,2.0556,0.0028,3.449,0
16.712,1.8548,2.0384,0.0038,7.054,0
16.804,1.9127,2.0181,-0.0104,2.911,0
16.904,1.9236,2.0507,-0.0350,2.720,0
17.008,1.9518,2.0231,-0.0146,5.334,0
17.104,1.9430,2.0229,-0.0122,3.183,0
17.204,1.9143,2.0389,0.0058,3.589,0
17.317,1.9098,2.0639,-0.0020,2.937,0
17.409,1.9355,2.0493,0.0203,6.889,0
17.506,1.9124,2.0333,0.0246,3.715,0
17.605,1.8834,2.0793,0.0206,3.637,0
17.706,1.9268,2.1027,0.0156,4.304,0
17.806,1.9080,2.1021,0.0224,2.646,0
17.906,1.9703,2.0872,0.0141,4.959,0
18.005,1.9378,2.1092,0.0207,3.429,0
18.106,1.9816,2.1074,0.0211,2.811,0
18.205,1.9635,2.1025,0.0105,4.089,0
18.306,1.9561,2.0872,0.0191,4.096,0
18.406,2.0013,2.0993,0.0155,4.537,0
18.507,1.9632,2.0787,0.0205,3.958,0
18.610,1.9620,2.0616,0.0279,8.058,0
18.707,1.9417,2.0961,0.0337,3.395,0
18.807,1.9816,2.0906,0.0596,4.428,0
18.904,1.9733,2.0896,0.0355,2.689,0
19.006,1.9587,2.0757,0.0390,4.262,0
19.108,1.9084,2.0949,0.0581,5.703,0
19.211,1.9118,2.0967,0.0545,7.511,0
19.312,1.9537,2.1071,0.0482,2.621,0
19.408,1.9452,2.1226,0.0472,3.182,0
19.518,1.8922,2.0667,0.0345,9.601,0
19.605,1.9561,2.1255,0.0636,3.409,0
19.708,1.9264,2.1265,0.0406,6.522,0
19.808,1.8954,2.1101,0.0420,3.086,0
19.904,1.9647,2.1138,0.0421,2.987,0
20.005,1.9561,2.0860,0.0404,3.451,0
20.110,1.9785,2.1300,0.0352,7.711,0
20.205,1.9363,2.1185,0.0208,3.779,0
20.305,1.9342,2.0896,-0.0012,3.717,0
20.404,1.9636,2.1726,0.0149,2.965,0
20.506,1.9783,2.1333,0.0077,4.601,0
20.604,1.9511,2.1447,0.0143,3.519,0
20.706,1.9782,2.1265,0.0040,5.039,0
20.804,1.9548,2.1548,-0.0043,3.342,0
20.909,1.9710,2.1289,0.0166,4.791,0
21.005,1.9573,2.1218,0.0137,3.724,0
21.106,1.9204,2.0956,0.0224,3.738,0
21.206,1.9445,2.0953,0.0237,4.350,0
21.307,1.9456,2.0532,0.0359,4.356,0
21.406,1.9748,2.0843,0.0279,3.985,0
21.505,1.9506,2.0734,0.0387,3.759,0
21.604,1.9476,2.0762,0.0284,2.580,0
21.705,1.9647,2.0386,0.0433,3.246,0
21.808,1.9224,2.0510,0.0267,4.242,0
21.904,1.9781,2.0323,0.0326,2.451,0
22.004,1.9788,2.0240,0.0501,2.060,0
22.105,1.9623,2.0243,0.0562,3.454,0
22.204,1.9792,2.0379,0.0409,3.043,0
22.305,2.0205,2.0263,0.0449,3.212,0
22.409,2.0040,2.0227,0.0487,4.019,0
22.505,1.9812,2.0109,0.0454,3.085,0
22.606,1.9834,1.9927,0.0246,3.435,0
22.705,1.9551,1.9533,0.0344,2.617,0
22.806,1.9728,1.9759,0.0011,3.725,0
22.908,1.9814,1.9817,0.0059,5.898,0
23.004,2.0049,1.9639,-0.0003,3.036,0
23.108,2.0188,1.9772,0.0081,3.304,0
23.206,2.0055,1.9962,-0.0022,3.394,0
23.305,1.9790,1.9882,-0.0154,2.414,0
23.416,2.0004,1.9545,0.0006,12.018,0
23.507,1.9699,1.9507,0.0178,4.391,0
23.607,1.9651,1.9646,0.0144,4.617,0
23.703,1.9830,1.9897,-0.0245,2.198,0
23.807,2.0156,1.9573,-0.0347,5.186,0
23.905,2.0090,1.9624,-0.0145,3.369,0
24.007,2.0462,1.9875,-0.0062,5.420,0
24.112,1.9962,1.9976,-0.0206,9.074,0
24.204,1.9605,2.0226,-0.0037,3.351,0
24.306,1.9925,1.9905,-0.0059,3.508,0
24.409,2.0057,2.0234,0.0066,3.789,0
24.508,2.0517,1.9795,0.0017,6.315,0
24.606,2.0129,2.0408,-0.0215,4.216,0
24.706,2.0177,2.0183,0.0026,4.010,0
24.810,1.9896,2.0284,-0.0029,6.002,0
24.906,2.0301,1.9982,0.0119,4.248,0
25.004,1.9943,1.9866,0.0057,2.562,0
25.108,1.9820,2.0247,-0.0090,5.037,0
25.210,2.0148,1.9930,0.0131,7.817,0
25.305,2.0058,2.0046,0.0135,3.943,0
25.415,1.9410,2.0153,0.0394,3.861,0
25.505,2.0036,2.0226,0.0148,3.927,0
25.606,1.9943,1.9987,0.0307,3.205,0
25.706,1.9729,2.0040,0.0285,4.714,0
25.806,2.0177,2.0214,0.0489,4.128,0
25.910,2.0140,2.0131,0.0263,3.983,0
26.008,1.9955,1.9596,0.0399,6.725,0
26.108,2.0338,1.9937,0.0329,5.940,0
26.204,2.0426,2.0044,0.0260,2.730,0
26.308,2.0272,1.9720,0.0116,5.775,0
26.404,2.0314,1.9590,0.0197,2.791,0
26.508,1.9989,1.9903,0.0016,5.013,0
26.606,1.9905,1.9627,-0.0003,4.212,0
26.706,2.0059,1.9765,0.0191,3.458,0
26.805,2.0041,1.9603,0.0000,3.802,0
26.920,2.0252,1.9317,0.0023,11.520,0
27.005,1.9955,1.9408,0.0141,2.456,0
27.109,1.9768,1.9700,-0.0006,7.618,0
27.205,1.9776,1.9482,0.0034,3.804,0
27.306,2.0041,1.9855,0.0021,4.893,0
27.404,2.0096,1.9752,0.0034,2.850,0
27.511,1.9709,1.9761,0.0105,9.009,0
27.605,2.0301,1.9963,-0.0170,3.910,0
27.705,2.0209,1.9958,-0.0492,2.446,0
27.803,1.9860,1.9794,-0.0195,2.415,0
27.904,1.9972,1.9607,-0.0208,2.746,0
28.006,2.0203,1.9664,-0.0269,4.430,0
28.108,2.0140,2.0083,0.0090,6.121,0
28.204,2.0046,1.9900,-0.0238,2.981,0
28.307,1.9822,2.0092,-0.0046,5.528,0
28.408,2.0014,1.9660,-0.0189,3.929,0
28.504,2.0001,1.9827,-0.0229,3.222,0
28.608,1.9949,1.9745,-0.0159,4.336,0
28.706,1.9802,1.9432,-0.0459,2.905,0
28.804,1.9776,1.9725,-0.0200,2.098,0
28.907,1.9828,1.9387,-0.0239,5.572,0
29.009,1.9992,1.9832,-0.0116,6.810,0
29.105,2.0238,1.9934,-0.0338,2.329,0
29.205,2.0018,2.0085,-0.0182,3.545,0
29.309,2.0131,1.9889,-0.0422,5.053,0
29.405,2.0288,2.0184,-0.0292,3.843,0
29.505,1.9975,2.0362,-0.0425,3.166,0
29.606,2.0426,2.0216,-0.0371,3.920,0
29.708,1.9948,2.0348,-0.0302,2.965,0
29.810,2.0764,2.0205,-0.0449,5.466,0
29.907,2.0614,2.0738,-0.0482,3.992,0
30.007,2.0552,2.0271,-0.0457,3.426,0
30.108,2.0668,2.0243,-0.0559,3.935,0
30.205,2.1039,2.0467,-0.0457,3.448,0
30.305,2.1141,2.0456,-0.0530,2.732,0
30.408,2.1600,2.0597,-0.0324,5.189,0
30.507,2.1920,2.0709,-0.0287,4.068,0
30.607,2.2372,2.0938,-0.0121,4.110,0
30.707,2.2421,2.0929,-0.0255,4.090,0
30.804,2.2439,2.1170,-0.0294,2.863,0
30.905,2.2513,2.0857,-0.0138,3.588,0
31.006,2.2692,2.0574,-0.0193,4.585,0
31.104,2.3017,2.1258,-0.0123,2.926,0
31.211,2.2606,2.1104,-0.0180,4.138,0
31.304,2.2975,2.1107,-0.0190,1.975,0
31.405,2.2759,2.1273,-0.0212,2.890,0
33.924,2.2779,2.1061,-0.0090,2.680,0
34.025,2.2631,2.0804,-0.0125,2.984,0
34.129,2.2929,2.1075,-0.0339,6.857,0
34.225,2.3001,2.0985,0.0005,2.296,0
34.327,2.2731,2.0917,-0.0001,3.739,0
34.432,2.2524,2.1187,0.0099,4.271,0
34.529,2.2199,2.1199,0.0223,5.974,0
34.624,2.2466,2.1309,0.0121,2.718,0
34.725,2.2118,2.1271,0.0127,3.526,0
34.824,2.2188,2.1280,-0.0069,2.443,0
34.924,2.2007,2.1223,-0.0035,2.668,0
35.026,2.2301,2.0945,0.0210,3.327,0
35.125,2.2085,2.1105,0.0206,3.895,0
35.226,2.1982,2.0799,-0.0034,4.113,0
35.326,2.1602,2.0847,0.0094,2.833,0
