t_sec,x,y,z,solve_ms,n_zero_weights
15.710,2.0954,0.0453,0.0237,6.360,0
15.808,2.0793,0.0405,0.0238,5.643,0
15.906,2.1127,0.0575,0.0150,4.644,0
16.004,2.1158,0.0155,0.0403,2.526,0
16.108,2.1238,0.0100,0.0466,4.605,0
16.206,2.1069,0.0426,0.0135,4.677,0
16.303,2.1164,0.0057,0.0258,2.488,0
16.404,2.0972,0.0164,0.0358,2.526,0
16.503,2.1283,0.0101,0.0379,1.992,0
16.608,2.1699,0.0234,0.0270,5.432,0
16.707,2.1205,0.0215,0.0082,5.134,0
16.805,2.1495,0.0296,0.0060,3.735,0
16.905,2.1308,0.0130,0.0185,3.148,0
17.008,2.0852,0.0195,0.0359,4.385,0
17.104,2.0813,0.0226,0.0417,2.725,0
17.204,2.1077,0.0238,0.0414,2.936,0
17.306,2.1116,0.0209,0.0406,4.266,0
17.407,2.1148,0.0375,0.0502,4.258,0
17.504,2.1765,0.0543,0.0447,2.706,0
17.608,2.1126,0.0572,0.0371,4.167,0
17.705,2.1146,0.0457,0.0532,4.094,0
17.805,2.1031,0.0074,0.0458,3.429,0
17.904,2.1365,0.0227,0.0581,2.860,0
18.005,2.1246,0.0151,0.0458,3.561,0
18.108,2.1794,0.0099,0.0554,5.645,0
18.211,2.1508,0.0011,0.0164,6.203,0
18.313,2.1813,0.0136,0.0315,8.360,0
18.407,2.1888,0.0366,0.0444,3.989,0
18.513,2.1940,0.0211,0.0423,3.529,0
18.605,2.1886,0.0314,0.0505,2.938,0
18.716,2.2240,0.0287,0.0704,7.166,0
18.804,2.2070,0.0076,0.0546,2.789,0
18.921,2.2017,-0.0098,0.0599,14.158,0
19.006,2.2078,0.0226,0.0655,4.708,0
19.108,2.2525,0.0296,0.0645,3.523,0
19.205,2.2233,0.0375,0.0571,3.085,0
19.307,2.2222,0.0210,0.0555,5.135,0
19.410,2.2371,0.0199,0.0847,7.627,0
19.505,2.2121,0.0155,0.0570,2.139,0
19.605,2.1942,0.0346,0.0753,3.753,0
19.706,2.2147,0.0468,0.0654,4.163,0
19.808,2.2181,0.0380,0.0641,5.415,0
19.908,2.2218,0.0512,0.0754,6.915,0
20.005,2.1748,0.0417,0.0285,3.385,0
20.107,2.2191,0.0726,0.0190,3.798,0
20.203,2.2010,0.0558,0.0054,2.508,0
20.305,2.2266,0.0632,0.0214,3.879,0
20.407,2.1884,0.0350,0.0186,3.876,0
20.506,2.2377,0.0701,0.0397,2.684,0
22.996,2.1906,0.0694,0.0393,3.269,0
23.097,2.1935,0.0390,0.0498,4.928,0
