t_sec,x,y,z,solve_ms,best_inliers,n_neighbours
11.021,0.1975,-0.1270,-0.1168,19.446,4,4
11.114,0.1798,-0.1266,-0.1252,12.730,4,4
11.227,0.1390,-0.1528,-0.1073,25.423,4,4
11.321,0.1938,-0.1677,-0.1215,19.233,4,4
11.414,0.1699,-0.1495,-0.1077,13.391,4,4
11.517,0.1625,-0.1269,-0.1188,11.906,4,4
11.620,0.1662,-0.1803,-0.1328,18.551,4,4
11.716,0.2180,-0.2000,-0.1434,11.237,4,4
11.814,0.1897,-0.1868,-0.1282,12.050,4,4
11.917,0.1374,-0.2014,-0.1338,12.650,4,4
12.022,0.1712,-0.1938,-0.1373,17.533,4,4
12.117,0.1914,-0.1612,-0.1430,15.582,4,4
12.226,0.1616,-0.1877,-0.1317,23.503,4,4
12.344,0.1496,-0.1666,-0.1389,39.767,4,4
12.481,0.1979,-0.1908,-0.1406,64.646,4,4
12.567,0.1661,-0.1635,-0.1264,34.417,4,4
12.627,0.1639,-0.1682,-0.1349,22.388,4,4
12.718,0.1881,-0.1350,-0.1456,14.945,4,4
12.824,0.1382,-0.0980,-0.0802,20.286,4,4
12.923,0.0991,-0.0800,-0.0901,20.379,4,4
13.021,0.0825,-0.0844,-0.0558,17.250,4,4
13.121,0.1006,-0.0813,-0.0492,19.210,4,4
13.223,0.0456,-0.0521,-0.0349,21.639,4,4
13.321,0.0529,-0.0443,-0.0475,19.336,4,4
13.432,0.0373,-0.0324,-0.0501,29.611,4,4
13.532,0.0466,-0.0429,-0.0142,28.820,4,4
13.628,0.0726,-0.0015,-0.0338,24.621,4,4
13.709,0.0608,-0.0117,-0.0165,6.140,4,4
13.810,0.0260,-0.0109,-0.0382,8.259,4,4
13.916,0.0332,-0.0074,-0.0347,14.961,4,4
14.021,0.0560,-0.0121,-0.0200,18.269,4,4
14.115,-0.0053,0.0028,-0.0232,13.679,4,4
14.218,0.0398,0.0161,-0.0212,17.095,4,4
14.323,-0.0366,-0.0093,0.0075,20.179,4,4
14.423,0.0050,0.0248,0.0133,19.224,4,4
14.527,-0.0067,0.0304,-0.0182,22.420,4,4
14.620,0.0017,0.0152,-0.0014,14.531,4,4
14.715,-0.0050,0.0260,0.0043,13.467,4,4
14.819,0.0094,0.0176,-0.0128,13.892,4,4
14.919,0.0087,0.0198,0.0308,17.234,4,4
15.017,-0.0004,0.0162,0.0254,15.804,4,4
15.112,-0.0139,0.0243,0.0170,10.711,4,4
15.219,0.0208,0.0132,0.0083,15.171,4,4
15.320,0.0019,0.0144,-0.0001,18.779,4,4
15.420,0.0217,0.0190,-0.0127,18.950,4,4
15.529,0.0065,0.0211,-0.0073,28.390,4,4
15.615,0.0015,0.0025,-0.0150,13.191,4,4
15.722,0.0502,0.0061,0.0399,17.846,4,4
15.825,0.0071,0.0335,0.0029,21.849,4,4
15.914,0.0162,0.0284,-0.0014,13.149,4,4
16.014,0.0064,0.0541,-0.0084,11.364,4,4
16.125,0.0404,0.0467,-0.0017,22.724,4,4
16.217,0.0246,0.0095,0.0053,15.054,4,4
16.320,0.0219,0.0349,0.0134,16.535,4,4
16.412,0.0206,0.0074,0.0066,11.520,4,4
16.531,0.0094,0.0110,-0.0157,27.707,4,4
16.613,0.0142,-0.0013,0.0040,11.804,4,4
16.718,-0.0036,0.0010,0.0039,14.379,4,4
16.818,-0.0026,-0.0072,0.0168,17.215,4,4
16.919,-0.0137,0.0059,0.0129,15.131,4,4
17.024,-0.0185,-0.0116,0.0004,22.554,4,4
17.118,-0.0237,-0.0113,0.0143,16.593,4,4
17.223,-0.0001,0.0073,0.0202,20.047,4,4
17.324,-0.0152,0.0029,0.0173,18.279,4,4
17.421,0.0168,-0.0021,-0.0060,19.502,4,4
17.513,0.0073,-0.0054,0.0080,12.345,4,4
17.617,-0.0086,-0.0017,0.0277,13.738,4,4
17.721,0.0030,0.0090,0.0020,19.836,4,4
17.820,-0.0320,-0.0054,0.0257,15.793,4,4
17.916,0.0179,0.0109,0.0083,14.746,4,4
18.015,-0.0068,-0.0036,-0.0040,12.926,4,4
18.125,0.0150,-0.0176,-0.0018,18.355,4,4
18.222,0.0028,-0.0153,0.0065,18.595,4,4
18.321,-0.0192,0.0114,-0.0065,19.089,4,4
18.413,-0.0194,0.0122,0.0059,11.730,4,4
18.517,0.0022,0.0017,0.0087,13.832,4,4
18.618,0.0001,0.0160,0.0203,15.900,4,4
18.715,0.0189,-0.0003,0.0010,12.233,4,4
18.816,-0.0084,0.0074,0.0083,14.693,4,4
18.920,0.0449,0.0139,0.0014,18.877,4,4
19.016,0.0360,0.0131,0.0228,14.600,4,4
19.117,0.0010,-0.0250,0.0258,15.876,4,4
19.213,0.0109,-0.0326,0.0210,12.519,4,4
19.321,0.0046,-0.0272,0.0175,19.388,4,4
19.418,-0.0223,-0.0660,0.0313,16.283,4,4
19.516,0.0104,-0.0300,0.0218,13.762,4,4
19.617,0.0069,-0.0110,0.0105,15.878,4,4
19.720,-0.0036,-0.0164,-0.0064,18.803,4,4
19.818,0.0042,-0.0004,-0.0107,16.256,4,4
19.916,0.0133,0.0174,-0.0001,15.512,4,4
20.016,0.0049,0.0148,-0.0199,14.542,4,4
20.119,-0.0028,0.0038,-0.0228,14.178,4,4
20.214,-0.0210,-0.0106,-0.0304,12.589,4,4
20.315,-0.0160,-0.0053,-0.0154,12.573,4,4
20.430,0.0026,-0.0086,-0.0092,28.354,4,4
20.520,-0.0088,-0.0139,-0.0064,18.476,4,4
20.623,-0.0372,-0.0255,-0.0017,21.643,4,4
20.719,-0.0204,-0.0267,0.0254,16.727,4,4
20.822,-0.0102,-0.0290,0.0103,20.819,4,4
20.922,-0.0026,-0.0372,0.0297,19.958,4,4
21.012,0.0338,-0.0113,0.0244,11.327,4,4
23.414,-0.0331,-0.0046,0.0264,16.218,4,4
23.510,-0.0213,-0.0243,0.0447,12.226,4,4
23.614,0.0243,-0.0194,0.0269,15.853,4,4
23.712,0.0210,-0.0131,0.0018,13.145,4,4
23.820,0.0268,-0.0078,0.0112,22.418,4,4
23.913,0.0332,0.0193,-0.0063,15.206,4,4
24.014,0.0168,-0.0054,0.0175,16.068,4,4
24.119,0.0205,0.0091,0.0078,19.984,4,4
24.214,0.0546,0.0323,0.0184,16.075,4,4
24.313,0.0218,0.0201,0.0157,16.956,4,4
24.411,0.0224,0.0407,-0.0121,11.643,4,4
24.517,0.0212,0.0339,0.0205,18.536,4,4
24.616,0.0091,0.0315,0.0109,19.358,4,4
24.713,-0.0398,0.0151,0.0422,16.831,4,4
24.807,0.0021,0.0259,-0.0042,10.865,4,4
24.913,-0.0233,0.0155,-0.0001,15.851,4,4
25.006,0.0504,0.0097,0.0116,8.370,4,4
25.106,0.0110,0.0235,0.0079,10.188,4,4
25.209,0.0107,0.0201,-0.0076,12.289,4,4
25.315,-0.0304,0.0074,-0.0161,17.597,4,4
25.416,0.0034,0.0250,0.0165,19.347,4,4
25.518,-0.0231,-0.0038,-0.0089,21.149,4,4
25.607,0.0046,0.0108,-0.0249,9.920,4,4
25.712,0.0031,0.0065,0.0260,14.918,4,4
25.807,-0.0570,0.0019,0.0095,10.819,4,4
25.907,-0.0431,0.0223,-0.0047,9.747,4,4
26.011,-0.0237,0.0083,0.0188,12.720,4,4
26.119,-0.0124,0.0117,0.0531,21.024,4,4
26.214,0.0089,0.0447,0.0060,13.825,4,4
26.324,0.0249,0.0297,-0.0120,24.976,4,4
26.412,-0.0214,0.0332,0.0112,12.144,4,4
26.518,0.0063,0.0380,0.0249,20.988,4,4
26.615,0.0063,0.0295,-0.0050,18.065,4,4
26.712,-0.0414,0.0246,0.0207,13.320,4,4
26.825,-0.0076,0.0232,0.0373,21.864,4,4
26.915,-0.0004,0.0180,0.0164,16.812,4,4
27.012,0.0394,0.0394,0.0319,9.816,4,4
27.112,0.0235,0.0313,0.0368,14.354,4,4
27.215,0.0174,0.0354,0.0194,17.785,4,4
27.308,-0.0036,0.0252,0.0150,11.838,4,4
27.410,0.0515,0.0303,0.0112,10.734,4,4
27.514,0.0120,0.0014,0.0082,16.236,4,4
27.610,0.0258,0.0225,-0.0059,13.727,4,4
27.715,0.0089,-0.0020,-0.0203,17.115,4,4
27.824,0.0446,0.0040,-0.0112,24.701,4,4
27.937,-0.0112,-0.0031,-0.0195,38.590,4,4
28.026,0.0291,0.0177,0.0111,23.518,4,4
28.121,0.0149,0.0022,0.0099,23.714,4,4
28.215,0.0066,0.0187,0.0101,16.690,4,4
28.321,-0.0433,0.0123,0.0184,23.552,4,4
28.413,0.0144,0.0336,0.0121,14.556,4,4
28.512,0.0160,0.0300,0.0414,14.608,4,4
28.619,0.0338,0.0285,0.0044,21.173,4,4
28.711,0.0473,0.0333,0.0299,12.565,4,4
28.823,0.0301,0.0208,-0.0031,23.540,4,4
28.953,0.0155,0.0292,0.0159,55.648,4,4
29.021,0.0313,0.0198,-0.0023,21.079,4,4
29.111,0.0351,0.0038,-0.0206,14.804,4,4
29.217,0.0446,0.0204,-0.0056,20.151,4,4
29.322,0.0448,0.0241,0.0005,22.440,4,4
29.413,0.0564,0.0420,-0.0264,14.615,4,4
29.511,0.0636,0.0473,-0.0171,13.608,4,4
29.621,0.0338,0.0296,0.0042,22.306,4,4
29.713,0.0358,0.0217,0.0162,16.301,4,4
29.815,0.0343,0.0267,-0.0202,15.047,4,4
29.927,0.0206,0.0302,-0.0116,27.444,4,4
30.022,0.0375,0.0488,-0.0079,22.861,4,4
30.131,0.0484,0.0356,-0.0241,34.021,4,4
30.220,0.0086,0.0125,-0.0100,22.176,4,4
30.318,-0.0232,0.0105,0.0139,21.766,4,4
30.410,0.0506,0.0270,-0.0074,13.172,4,4
30.505,0.0612,0.0333,-0.0294,7.293,4,4
30.607,0.0145,0.0303,-0.0182,10.272,4,4
30.703,0.0671,0.0748,-0.0093,7.054,4,4
30.807,0.0316,0.0581,-0.0048,9.671,4,4
30.910,0.0345,0.0530,-0.0114,12.508,4,4
31.009,0.0623,0.0616,0.0099,12.378,4,4
31.113,0.0096,0.0575,-0.0173,15.000,4,4
31.209,0.0318,0.0639,0.0247,12.263,4,4
31.318,0.0344,0.0495,-0.0035,21.151,4,4
31.406,0.0420,0.0469,-0.0102,9.443,4,4
31.506,0.0442,0.0365,-0.0220,9.048,4,4
31.606,0.0115,0.0303,0.0134,9.104,4,4
31.709,0.0182,0.0189,0.0267,11.057,4,4
31.809,0.0140,0.0469,0.0460,11.174,4,4
31.905,0.0250,0.0416,0.0175,8.965,4,4
32.010,0.0067,0.0422,0.0281,13.016,4,4
32.114,0.0148,0.0512,0.0308,13.107,4,4
32.214,0.0484,0.0673,0.0185,15.891,4,4
32.314,0.0479,0.0450,0.0119,16.801,4,4
32.415,0.0506,0.0743,0.0420,17.151,4,4
32.512,0.0118,0.0598,0.0174,15.494,4,4
32.612,0.0189,0.0807,0.0091,13.039,4,4
32.714,0.0577,0.0766,0.0191,17.411,4,4
32.812,0.0221,0.0729,0.0075,15.114,4,4
32.915,0.0350,0.0626,0.0036,12.434,4,4
33.010,0.0036,0.0730,0.0023,10.664,4,4
33.114,0.0134,0.0556,-0.0236,15.393,4,4
33.217,0.0102,0.0604,-0.0064,20.566,4,4
33.315,-0.0061,0.0506,-0.0089,15.338,4,4
33.408,0.0047,0.0445,0.0013,10.618,4,4
33.512,0.0789,0.0836,-0.0108,14.707,4,4
33.607,0.0450,0.0603,0.0101,10.352,4,4
33.708,0.0354,0.0615,0.0267,11.779,4,4
33.809,0.0228,0.0649,0.0156,12.854,4,4
33.916,0.0349,0.0561,0.0144,14.162,4,4
34.012,0.0639,0.0756,0.0057,16.124,4,4
34.125,0.0380,0.0465,0.0206,27.546,4,4
34.219,0.0623,0.0479,-0.0021,21.142,4,4
34.312,0.0688,0.0565,0.0017,16.250,4,4
34.414,0.0339,0.0743,0.0238,17.504,4,4
34.513,0.0696,0.0479,0.0048,15.855,4,4
34.611,0.0397,0.0486,0.0163,14.829,4,4
34.716,0.0498,0.0592,0.0165,18.851,4,4
34.819,0.0582,0.0761,0.0051,20.127,4,4
34.938,0.0438,0.0834,0.0250,40.643,4,4
35.015,0.0581,0.0891,-0.0021,18.770,4,4
35.106,0.0320,0.0807,0.0080,9.912,4,4
35.212,0.0382,0.0822,0.0073,14.362,4,4
35.319,0.0126,0.0597,0.0062,19.976,4,4
35.414,0.0783,0.0919,0.0038,17.210,4,4
35.512,0.0567,0.1064,0.0354,14.078,4,4
35.609,0.0478,0.0619,0.0106,12.313,4,4
