approach,attack,mean_err_m,peak_err_m,rmse_m,std_m,mean_solve_ms,degradation_factor
WLS,baseline,0.2869,0.6355,0.3195,0.1405,0.0,1.0
WLS,sybil,0.3474,0.9122,0.3978,0.1938,0.0,1.21
WLS,replay,0.434,0.8322,0.4731,0.1884,0.0,1.51
WLS,wormhole,7.4611,18.7245,9.7358,6.2544,0.0,26.01
WLS,sybil_consistent,1.5811,2.2681,1.7308,0.7042,0.0,5.51
WLS,replay_gradual,0.3232,0.5447,0.3424,0.1132,0.0,1.13
WLS,byzantine,22.5393,72.9146,32.8323,23.8734,0.0,78.56
WLS,timesync,0.4105,0.8268,0.4551,0.1964,0.0,1.43
EKF,baseline,0.4965,0.9841,0.5465,0.2282,0.0,1.0
EKF,sybil,0.3936,0.6647,0.4258,0.1625,0.0,0.79
EKF,replay,0.4115,0.5623,0.4206,0.0869,0.0,0.83
EKF,wormhole,9.511,31.048,13.9309,10.179,0.0,19.16
EKF,sybil_consistent,1.3349,1.8515,1.4513,0.5694,0.0,2.69
EKF,replay_gradual,0.5796,0.9652,0.6112,0.194,0.0,1.17
EKF,byzantine,20.6229,66.8617,29.8739,21.6136,0.0,41.54
EKF,timesync,0.2501,0.513,0.2672,0.0941,0.0,0.5
WLS + Huber,baseline,0.4093,0.8216,0.4826,0.2556,1.747,1.0
WLS + Huber,sybil,0.3302,0.5443,0.3497,0.1152,1.767,0.81
WLS + Huber,replay,0.4638,1.0253,0.5025,0.1932,1.648,1.13
WLS + Huber,wormhole,12.0823,31.01,15.849,10.2571,1.898,29.52
WLS + Huber,sybil_consistent,0.3326,0.6997,0.3606,0.1394,1.758,0.81
WLS + Huber,replay_gradual,0.5846,0.9303,0.6189,0.2032,1.679,1.43
WLS + Huber,byzantine,24.5977,76.9785,35.0574,24.9794,1.681,60.1
WLS + Huber,timesync,0.3249,0.6774,0.3582,0.1509,1.734,0.79
WLS + Tukey,baseline,0.2726,0.6729,0.2946,0.1116,3.569,1.0
WLS + Tukey,sybil,0.3273,0.6564,0.3565,0.1414,3.153,1.2
WLS + Tukey,replay,0.3125,0.7212,0.3631,0.1848,3.278,1.15
WLS + Tukey,wormhole,0.5942,1.0841,0.6637,0.2956,3.39,2.18
WLS + Tukey,sybil_consistent,0.4447,0.8954,0.5133,0.2563,3.224,1.63
WLS + Tukey,replay_gradual,0.4177,0.8901,0.474,0.224,3.275,1.53
WLS + Tukey,byzantine,33.2969,98.8835,46.5262,32.4962,3.446,122.15
WLS + Tukey,timesync,0.3027,0.6017,0.332,0.1363,3.271,1.11
RANSAC,baseline,0.2605,0.5175,0.2857,0.1175,12.975,1.0
RANSAC,sybil,0.5735,1.019,0.6298,0.2603,12.445,2.2
RANSAC,replay,0.3636,0.8194,0.4412,0.2499,12.655,1.4
RANSAC,wormhole,0.6202,1.1841,0.6808,0.2806,12.38,2.38
RANSAC,sybil_consistent,0.2333,0.507,0.2603,0.1156,12.753,0.9
RANSAC,replay_gradual,0.2818,0.6275,0.3237,0.1593,12.889,1.08
RANSAC,byzantine,1.8887,3.2111,2.3,1.3126,12.716,7.25
RANSAC,timesync,0.2965,0.5843,0.3289,0.1423,13.502,1.14
EKF+χ²+Huber ★,baseline,0.017,0.0327,0.0177,0.0048,0.62,1.0
EKF+χ²+Huber ★,sybil,0.0357,0.0606,0.0371,0.0103,0.598,2.1
EKF+χ²+Huber ★,replay,0.0176,0.0367,0.0197,0.0089,0.597,1.04
EKF+χ²+Huber ★,wormhole,0.0336,0.0545,0.0352,0.0106,0.65,1.98
EKF+χ²+Huber ★,sybil_consistent,0.0338,0.0678,0.0374,0.0159,0.579,1.99
EKF+χ²+Huber ★,replay_gradual,0.02,0.0338,0.0204,0.0038,0.62,1.18
EKF+χ²+Huber ★,byzantine,0.4627,0.738,0.5551,0.3067,0.632,27.22
EKF+χ²+Huber ★,timesync,0.033,0.0475,0.0344,0.0097,0.558,1.94
