approach,attack,mean_err_m,peak_err_m,rmse_m,std_m,mean_solve_ms,degradation_factor
WLS,baseline,0.2532,0.5936,0.2854,0.1317,0.0,1.0
WLS,sybil,0.2997,0.6537,0.3461,0.1731,0.0,1.18
WLS,replay,0.44,4.0,0.5522,0.3336,0.0,1.74
WLS,wormhole,6.4924,17.3103,8.8609,6.0302,0.0,25.64
WLS,sybil_consistent,1.4714,4.0,1.6701,0.79,0.0,5.81
WLS,replay_gradual,0.2906,0.5046,0.3169,0.1264,0.0,1.15
WLS,byzantine,18.2763,65.753,27.9361,21.1283,0.0,72.18
WLS,timesync,0.3686,0.8255,0.419,0.1991,0.0,1.46
EKF,baseline,0.4394,0.8439,0.4933,0.2244,0.0,1.0
EKF,sybil,0.3732,0.6718,0.4148,0.181,0.0,0.85
EKF,replay,0.3902,0.5527,0.4103,0.1268,0.0,0.89
EKF,wormhole,7.5373,27.5577,11.6875,8.9323,0.0,17.15
EKF,sybil_consistent,1.246,1.8406,1.3992,0.6366,0.0,2.84
EKF,replay_gradual,0.5379,0.9549,0.5817,0.2214,0.0,1.22
EKF,byzantine,17.4931,61.0771,26.2949,19.6319,0.0,39.81
EKF,timesync,0.2313,0.5257,0.2553,0.1079,0.0,0.53
WLS + Huber,baseline,0.3914,0.8207,0.4704,0.2609,1.675,1.0
WLS + Huber,sybil,0.3187,0.5475,0.3427,0.1259,1.643,0.81
WLS + Huber,replay,0.4371,0.9277,0.4756,0.1876,1.714,1.12
WLS + Huber,wormhole,11.0004,29.5764,14.7759,9.8649,1.747,28.11
WLS + Huber,sybil_consistent,0.3173,0.7062,0.3475,0.1417,1.669,0.81
WLS + Huber,replay_gradual,0.5628,0.9423,0.6033,0.2173,1.657,1.44
WLS + Huber,byzantine,20.2585,69.3124,30.1833,22.3747,1.7,51.76
WLS + Huber,timesync,0.3041,0.6365,0.3384,0.1483,1.697,0.78
WLS + Tukey,baseline,0.2401,0.5433,0.2572,0.0924,3.454,1.0
WLS + Tukey,sybil,0.3163,0.6281,0.3485,0.1463,3.228,1.32
WLS + Tukey,replay,0.3011,0.7077,0.3557,0.1894,3.104,1.25
WLS + Tukey,wormhole,0.5641,1.0753,0.6446,0.312,3.332,2.35
WLS + Tukey,sybil_consistent,0.4233,0.9029,0.495,0.2566,3.173,1.76
WLS + Tukey,replay_gradual,0.3901,0.8859,0.4498,0.224,3.343,1.62
WLS + Tukey,byzantine,26.9604,88.6637,39.6167,29.0279,3.457,112.29
WLS + Tukey,timesync,0.285,0.5648,0.3159,0.1365,3.44,1.19
RANSAC,baseline,0.2544,0.512,0.2834,0.1249,12.057,1.0
RANSAC,sybil,0.5414,0.9911,0.6049,0.2699,12.496,2.13
RANSAC,replay,0.3493,0.7806,0.4306,0.2518,12.133,1.37
RANSAC,wormhole,0.5749,1.0538,0.6411,0.2837,12.69,2.26
RANSAC,sybil_consistent,0.2298,0.5038,0.2591,0.1198,12.667,0.9
RANSAC,replay_gradual,0.27,0.614,0.3143,0.1609,12.857,1.06
RANSAC,byzantine,1.7986,3.1937,2.2403,1.3356,12.734,7.07
RANSAC,timesync,0.2689,0.5809,0.3058,0.1457,12.871,1.06
EKF+χ²+Huber ★,baseline,0.0166,0.0298,0.0172,0.0045,0.673,1.0
EKF+χ²+Huber ★,sybil,0.0357,0.064,0.0372,0.0103,0.582,2.15
EKF+χ²+Huber ★,replay,0.0162,0.0391,0.0185,0.009,0.592,0.98
EKF+χ²+Huber ★,wormhole,0.0329,0.0512,0.0346,0.0105,0.589,1.98
EKF+χ²+Huber ★,sybil_consistent,0.0309,0.0579,0.035,0.0164,0.585,1.86
EKF+χ²+Huber ★,replay_gradual,0.0202,0.041,0.0206,0.004,0.621,1.22
EKF+χ²+Huber ★,byzantine,0.4436,0.7331,0.5422,0.3117,0.589,26.72
EKF+χ²+Huber ★,timesync,0.0337,0.0487,0.035,0.0095,0.612,2.03
