approach,attack,mean_err_m,peak_err_m,rmse_m,std_m,mean_solve_ms,degradation_factor
WLS,baseline,0.2672,2.0,0.3333,0.1993,0.0,1.0
WLS,sybil,0.3123,0.6693,0.3581,0.1751,0.0,1.17
WLS,replay,0.4304,2.0,0.4907,0.2357,0.0,1.61
WLS,wormhole,6.499,17.2261,8.8572,6.0177,0.0,24.32
WLS,sybil_consistent,1.4547,2.1408,1.6471,0.7725,0.0,5.44
WLS,replay_gradual,0.2909,0.515,0.3173,0.1267,0.0,1.09
WLS,byzantine,20.5489,66.5331,29.7228,21.4753,0.0,76.9
WLS,timesync,0.3675,0.8251,0.4184,0.1999,0.0,1.38
EKF,baseline,0.4438,0.8518,0.4969,0.2236,0.0,1.0
EKF,sybil,0.3753,0.6637,0.416,0.1793,0.0,0.85
EKF,replay,0.3902,0.5551,0.4102,0.1263,0.0,0.88
EKF,wormhole,7.2449,27.1443,11.3396,8.7234,0.0,16.32
EKF,sybil_consistent,1.2416,1.8363,1.3975,0.6415,0.0,2.8
EKF,replay_gradual,0.5372,0.9655,0.5809,0.221,0.0,1.21
EKF,byzantine,16.1573,58.5003,24.7267,18.7176,0.0,36.41
EKF,timesync,0.2322,0.5116,0.256,0.108,0.0,0.52
WLS + Huber,baseline,0.3908,0.8164,0.4696,0.2603,1.763,1.0
WLS + Huber,sybil,0.3176,0.5552,0.3423,0.1278,1.726,0.81
WLS + Huber,replay,0.4375,0.9212,0.4763,0.1883,1.716,1.12
WLS + Huber,wormhole,10.9087,29.4713,14.6843,9.83,1.74,27.91
WLS + Huber,sybil_consistent,0.3175,0.6858,0.348,0.1423,1.692,0.81
WLS + Huber,replay_gradual,0.5625,0.9318,0.6034,0.2184,1.735,1.44
WLS + Huber,byzantine,20.3042,69.426,30.2358,22.404,1.716,51.96
WLS + Huber,timesync,0.3044,0.628,0.3388,0.1487,1.727,0.78
WLS + Tukey,baseline,0.2399,0.5399,0.2575,0.0934,3.462,1.0
WLS + Tukey,sybil,0.3146,0.6475,0.3472,0.147,3.165,1.31
WLS + Tukey,replay,0.2997,0.6993,0.3547,0.1897,3.121,1.25
WLS + Tukey,wormhole,0.5654,1.0835,0.6461,0.3126,3.256,2.36
WLS + Tukey,sybil_consistent,0.4244,0.8883,0.4957,0.2561,3.218,1.77
WLS + Tukey,replay_gradual,0.391,0.8946,0.4506,0.224,3.281,1.63
WLS + Tukey,byzantine,26.74,88.3014,39.3692,28.8947,3.257,111.46
WLS + Tukey,timesync,0.2842,0.5924,0.3152,0.1364,3.474,1.18
RANSAC,baseline,0.2562,0.5006,0.2838,0.1219,12.311,1.0
RANSAC,sybil,0.5418,0.995,0.6052,0.2698,11.946,2.11
RANSAC,replay,0.3488,0.7945,0.4303,0.252,12.125,1.36
RANSAC,wormhole,0.5751,1.0561,0.6416,0.2844,12.636,2.24
RANSAC,sybil_consistent,0.2287,0.498,0.2582,0.1199,12.394,0.89
RANSAC,replay_gradual,0.2703,0.6184,0.3148,0.1613,13.175,1.06
RANSAC,byzantine,1.7974,3.2349,2.24,1.3366,12.168,7.02
RANSAC,timesync,0.268,0.5744,0.3049,0.1454,12.763,1.05
EKF+χ²+Huber ★,baseline,0.0171,0.0302,0.0176,0.0039,0.647,1.0
EKF+χ²+Huber ★,sybil,0.0342,0.0557,0.0355,0.0096,0.588,2.0
EKF+χ²+Huber ★,replay,0.0165,0.0404,0.0188,0.0091,0.571,0.96
EKF+χ²+Huber ★,wormhole,0.0324,0.0531,0.0342,0.0108,0.604,1.89
EKF+χ²+Huber ★,sybil_consistent,0.0316,0.0653,0.0358,0.0168,0.55,1.85
EKF+χ²+Huber ★,replay_gradual,0.0202,0.03,0.0205,0.0032,0.616,1.18
EKF+χ²+Huber ★,byzantine,0.4362,0.7364,0.5367,0.3127,0.614,25.51
EKF+χ²+Huber ★,timesync,0.0335,0.0479,0.0348,0.0093,0.645,1.96
