t_s,phase,mode,msg_age_s,px4_1_est_x,px4_1_est_y,px4_1_est_z,px4_1_gt_x,px4_1_gt_y,px4_1_gt_z,px4_1_error_m,px4_3_est_x,px4_3_est_y,px4_3_est_z,px4_3_gt_x,px4_3_gt_y,px4_3_gt_z,px4_3_error_m
0.353,warmup,delayed,0.000,,,,,,,,-0.0000,1.9435,-0.5816,-0.0000,2.0000,-0.0130,0.5714,,,,,,,
0.392,warmup,delayed,0.000,-0.0000,-0.0036,-0.5876,-0.0000,0.0000,-0.0130,0.5746,-0.0000,1.9435,-0.5816,-0.0000,2.0000,-0.0130,0.5714,,,,,,,
0.456,warmup,delayed,0.000,-0.0000,-0.0036,-0.5876,-0.0000,0.0000,-0.0130,0.5746,-0.0000,1.9435,-0.5816,-0.0000,2.0000,-0.0130,0.5714,,,,,,,
0.472,warmup,delayed,0.000,-0.0000,-0.0036,-0.5876,-0.0000,0.0000,-0.0130,0.5746,-0.0000,1.9846,-0.5768,-0.0000,2.0000,-0.0130,0.5640,,,,,,,
0.512,warmup,delayed,0.000,-0.0000,-0.0041,-0.5659,-0.0000,0.0000,-0.0130,0.5529,-0.0000,1.9846,-0.5768,-0.0000,2.0000,-0.0130,0.5640,,,,,,,
0.552,warmup,delayed,0.000,-0.0000,-0.0041,-0.5659,-0.0000,0.0000,-0.0130,0.5529,-0.0000,1.9953,-0.5732,-0.0000,2.0000,-0.0130,0.5603,,,,,,,
0.593,warmup,delayed,0.000,-0.0000,0.0189,-0.5612,-0.0000,0.0000,-0.0130,0.5485,-0.0000,2.0136,-0.5714,-0.0000,2.0000,-0.0130,0.5586,,,,,,,
0.632,warmup,delayed,0.000,-0.0000,0.0189,-0.5612,-0.0000,0.0000,-0.0130,0.5485,-0.0000,1.9905,-0.5670,-0.0000,2.0000,-0.0130,0.5541,,,,,,,
0.671,warmup,delayed,0.000,-0.0000,-0.0300,-0.5561,-0.0000,0.0000,-0.0130,0.5440,-0.0000,1.9750,-0.5691,-0.0000,2.0000,-0.0130,0.5567,,,,,,,
0.712,warmup,delayed,0.000,-0.0000,-0.0285,-0.5625,-0.0000,0.0000,-0.0130,0.5502,-0.0000,1.9750,-0.5691,-0.0000,2.0000,-0.0130,0.5567,,,,,,,
0.752,warmup,delayed,0.000,-0.0000,-0.0285,-0.5625,-0.0000,0.0000,-0.0130,0.5502,-0.0000,1.9655,-0.5778,-0.0000,2.0000,-0.0130,0.5659,,,,,,,
0.792,warmup,delayed,0.000,-0.0000,-0.0454,-0.5691,-0.0000,0.0000,-0.0130,0.5580,-0.0000,1.9655,-0.5778,-0.0000,2.0000,-0.0130,0.5659,,,,,,,
0.832,warmup,delayed,0.000,-0.0000,-0.0454,-0.5691,-0.0000,0.0000,-0.0130,0.5580,-0.0000,2.0014,-0.5728,-0.0000,2.0000,-0.0130,0.5598,,,,,,,
0.872,warmup,delayed,0.000,-0.0000,-0.0155,-0.5841,-0.0000,0.0000,-0.0130,0.5714,-0.0000,2.0000,-0.5781,-0.0000,2.0000,-0.0130,0.5651,,,,,,,
0.912,warmup,delayed,0.000,-0.0000,-0.0199,-0.5892,-0.0000,0.0000,-0.0130,0.5765,-0.0000,2.0000,-0.5781,-0.0000,2.0000,-0.0130,0.5651,,,,,,,
0.952,warmup,delayed,0.000,-0.0000,-0.0199,-0.5892,-0.0000,0.0000,-0.0130,0.5765,-0.0000,1.9817,-0.5887,-0.0000,2.0000,-0.0130,0.5760,,,,,,,
0.992,warmup,delayed,0.000,-0.0000,0.0116,-0.5893,-0.0000,0.0000,-0.0130,0.5765,-0.0000,1.9817,-0.5887,-0.0000,2.0000,-0.0130,0.5760,,,,,,,
1.034,warmup,delayed,0.000,-0.0000,0.0116,-0.5893,-0.0000,0.0000,-0.0130,0.5765,-0.0000,2.0040,-0.6001,-0.0000,2.0000,-0.0130,0.5871,,,,,,,
1.072,warmup,delayed,0.000,-0.0000,-0.0050,-0.5929,-0.0000,0.0000,-0.0130,0.5799,-0.0000,2.0108,-0.5988,-0.0000,2.0000,-0.0130,0.5859,,,,,,,
1.113,warmup,delayed,0.000,-0.0000,-0.0050,-0.5929,-0.0000,0.0000,-0.0130,0.5799,-0.0000,2.0108,-0.5988,-0.0000,2.0000,-0.0130,0.5859,,,,,,,
1.154,warmup,delayed,0.000,-0.0000,-0.0050,-0.5929,-0.0000,0.0000,-0.0130,0.5799,-0.0000,1.9960,-0.5982,-0.0000,2.0000,-0.0130,0.5852,,,,,,,
1.192,warmup,delayed,0.000,-0.0000,0.0207,-0.6149,-0.0000,0.0000,-0.0130,0.6022,-0.0000,1.9960,-0.5982,-0.0000,2.0000,-0.0130,0.5852,,,,,,,
1.232,warmup,delayed,0.000,-0.0000,0.0207,-0.6149,-0.0000,0.0000,-0.0130,0.6022,-0.0000,2.0400,-0.6167,-0.0000,2.0000,-0.0130,0.6050,,,,,,,
1.272,warmup,delayed,0.000,-0.0000,-0.0141,-0.6029,-0.0000,0.0000,-0.0130,0.5901,-0.0000,2.0400,-0.6167,-0.0000,2.0000,-0.0130,0.6050,,,,,,,
1.314,warmup,delayed,0.000,-0.0000,-0.0106,-0.6014,-0.0000,0.0000,-0.0130,0.5885,-0.0000,2.0400,-0.6167,-0.0000,2.0000,-0.0130,0.6050,,,,,,,
1.353,warmup,delayed,0.000,-0.0000,-0.0106,-0.6014,-0.0000,0.0000,-0.0130,0.5885,-0.0000,1.9910,-0.6209,-0.0000,2.0000,-0.0130,0.6079,,,,,,,
1.392,warmup,delayed,0.000,-0.0000,-0.0316,-0.6385,-0.0000,0.0000,-0.0130,0.6263,-0.0000,1.9910,-0.6209,-0.0000,2.0000,-0.0130,0.6079,,,,,,,
1.448,warmup,delayed,0.000,-0.0000,-0.0316,-0.6385,-0.0000,0.0000,-0.0130,0.6263,-0.0000,1.9910,-0.6209,-0.0000,2.0000,-0.0130,0.6079,,,,,,,
1.473,warmup,delayed,0.000,-0.0000,-0.0316,-0.6385,-0.0000,0.0000,-0.0130,0.6263,-0.0000,1.9862,-0.6179,-0.0000,2.0000,-0.0130,0.6051,,,,,,,
1.512,warmup,delayed,0.000,-0.0000,-0.0316,-0.6385,-0.0000,0.0000,-0.0130,0.6263,-0.0000,1.9862,-0.6179,-0.0000,2.0000,-0.0130,0.6051,,,,,,,
1.552,warmup,delayed,0.000,-0.0000,-0.0316,-0.6385,-0.0000,0.0000,-0.0130,0.6263,-0.0000,1.9862,-0.6179,-0.0000,2.0000,-0.0130,0.6051,,,,,,,
1.592,warmup,delayed,0.000,-0.0000,-0.0316,-0.6385,-0.0000,0.0000,-0.0130,0.6263,-0.0000,1.9862,-0.6179,-0.0000,2.0000,-0.0130,0.6051,,,,,,,
1.632,warmup,delayed,0.000,-0.0000,-0.0316,-0.6385,-0.0000,0.0000,-0.0130,0.6263,-0.0000,1.9862,-0.6179,-0.0000,2.0000,-0.0130,0.6051,,,,,,,
1.673,warmup,delayed,0.000,-0.0000,-0.0316,-0.6385,-0.0000,0.0000,-0.0130,0.6263,-0.0000,1.9862,-0.6179,-0.0000,2.0000,-0.0130,0.6051,,,,,,,
1.712,warmup,delayed,0.000,-0.0000,-0.0316,-0.6385,-0.0000,0.0000,-0.0130,0.6263,-0.0000,1.9862,-0.6179,-0.0000,2.0000,-0.0130,0.6051,,,,,,,
1.753,warmup,delayed,0.000,-0.0000,-0.0316,-0.6385,-0.0000,0.0000,-0.0130,0.6263,-0.0000,1.9862,-0.6179,-0.0000,2.0000,-0.0130,0.6051,,,,,,,
1.792,warmup,delayed,0.000,-0.0000,-0.0316,-0.6385,-0.0000,0.0000,-0.0130,0.6263,-0.0000,1.9862,-0.6179,-0.0000,2.0000,-0.0130,0.6051,,,,,,,
1.892,warmup,delayed,0.000,-0.0000,0.0210,-0.6263,-0.0000,0.0000,-0.0130,0.6137,-0.0000,2.0357,-0.6227,-0.0000,2.0000,-0.0130,0.6107,,,,,,,
1.944,warmup,delayed,0.000,-0.0000,-0.0019,-0.6159,-0.0000,0.0000,-0.0130,0.6029,-0.0000,1.9921,-0.6252,-0.0000,2.0000,-0.0130,0.6122,-0.0000,3.0594,-0.6265,-0.0000,3.0000,-0.0130,0.6164
1.987,warmup,delayed,0.000,-0.0000,-0.0020,-0.6370,-0.0000,0.0000,-0.0130,0.6240,-0.0000,1.9920,-0.6251,-0.0000,2.0000,-0.0130,0.6122,-0.0000,3.0061,-0.6210,-0.0000,3.0000,-0.0130,0.6080
