t_s,num_ghosts,phase,px4_1_est_x,px4_1_est_y,px4_1_est_z,px4_1_gt_x,px4_1_gt_y,px4_1_gt_z,px4_1_error_m,px4_3_est_x,px4_3_est_y,px4_3_est_z,px4_3_gt_x,px4_3_gt_y,px4_3_gt_z,px4_3_error_m,px4_4_est_x,px4_4_est_y,px4_4_est_z,px4_4_gt_x,px4_4_gt_y,px4_4_gt_z,px4_4_error_m
11.163,3,attack,-0.0000,0.2078,-0.3974,-0.0000,0.0000,-0.0130,0.4369,-0.0000,2.2436,-0.4092,-0.0000,2.0000,-0.0130,0.4650,-0.0000,3.2496,-0.4144,-0.0000,3.0000,-0.0130,0.4726
11.263,3,attack,-0.0000,0.2975,-0.3897,-0.0000,0.0000,-0.0130,0.4800,-0.0000,2.3423,-0.3981,-0.0000,2.0000,-0.0130,0.5152,-0.0000,3.2759,-0.3935,-0.0000,3.0000,-0.0130,0.4699
11.365,3,attack,-0.0000,0.2890,-0.3947,-0.0000,0.0000,-0.0130,0.4788,-0.0000,2.3298,-0.3866,-0.0000,2.0000,-0.0130,0.4983,-0.0000,3.2914,-0.3945,-0.0000,3.0000,-0.0130,0.4801
11.467,3,attack,-0.0000,0.3010,-0.3999,-0.0000,0.0000,-0.0130,0.4902,-0.0000,2.2986,-0.4020,-0.0000,2.0000,-0.0130,0.4904,-0.0000,3.2971,-0.4033,-0.0000,3.0000,-0.0130,0.4905
11.563,3,attack,-0.0000,0.2828,-0.4224,-0.0000,0.0000,-0.0130,0.4976,-0.0000,2.2963,-0.3997,-0.0000,2.0000,-0.0130,0.4871,-0.0000,3.3220,-0.4051,-0.0000,3.0000,-0.0130,0.5074
11.664,3,attack,-0.0000,0.3390,-0.4115,-0.0000,0.0000,-0.0130,0.5232,-0.0000,2.2976,-0.4084,-0.0000,2.0000,-0.0130,0.4949,-0.0000,3.3166,-0.4120,-0.0000,3.0000,-0.0130,0.5093
11.763,3,attack,-0.0000,0.3628,-0.4096,-0.0000,0.0000,-0.0130,0.5375,-0.0000,2.3594,-0.4150,-0.0000,2.0000,-0.0130,0.5393,-0.0000,3.3634,-0.4059,-0.0000,3.0000,-0.0130,0.5351
11.869,3,attack,-0.0000,0.3388,-0.4232,-0.0000,0.0000,-0.0130,0.5320,-0.0000,2.2940,-0.4151,-0.0000,2.0000,-0.0130,0.4981,-0.0000,3.3273,-0.4405,-0.0000,3.0000,-0.0130,0.5384
11.962,3,attack,-0.0000,0.3587,-0.4246,-0.0000,0.0000,-0.0130,0.5460,-0.0000,2.3006,-0.4228,-0.0000,2.0000,-0.0130,0.5082,-0.0000,3.3626,-0.4077,-0.0000,3.0000,-0.0130,0.5359
12.065,3,attack,-0.0000,0.2727,-0.4082,-0.0000,0.0000,-0.0130,0.4801,-0.0000,2.3182,-0.4217,-0.0000,2.0000,-0.0130,0.5180,-0.0000,3.2990,-0.4150,-0.0000,3.0000,-0.0130,0.5010
12.163,3,attack,-0.0000,0.3254,-0.3858,-0.0000,0.0000,-0.0130,0.4948,-0.0000,2.3130,-0.4165,-0.0000,2.0000,-0.0130,0.5107,-0.0000,3.3188,-0.4112,-0.0000,3.0000,-0.0130,0.5100
12.267,3,attack,-0.0000,0.2837,-0.4025,-0.0000,0.0000,-0.0130,0.4819,-0.0000,2.2870,-0.4029,-0.0000,2.0000,-0.0130,0.4841,-0.0000,3.2590,-0.4183,-0.0000,3.0000,-0.0130,0.4810
12.363,3,attack,-0.0000,0.3147,-0.4029,-0.0000,0.0000,-0.0130,0.5010,-0.0000,2.2895,-0.4016,-0.0000,2.0000,-0.0130,0.4846,-0.0000,3.3153,-0.4088,-0.0000,3.0000,-0.0130,0.5061
12.463,3,attack,-0.0000,0.3155,-0.3930,-0.0000,0.0000,-0.0130,0.4939,-0.0000,2.3220,-0.4009,-0.0000,2.0000,-0.0130,0.5041,-0.0000,3.3423,-0.3981,-0.0000,3.0000,-0.0130,0.5153
12.575,3,attack,-0.0000,0.3293,-0.3980,-0.0000,0.0000,-0.0130,0.5067,-0.0000,2.2925,-0.3848,-0.0000,2.0000,-0.0130,0.4730,-0.0000,3.3064,-0.3888,-0.0000,3.0000,-0.0130,0.4849
12.663,3,attack,-0.0000,0.2827,-0.3915,-0.0000,0.0000,-0.0130,0.4724,-0.0000,2.2237,-0.3826,-0.0000,2.0000,-0.0130,0.4320,-0.0000,3.2544,-0.3919,-0.0000,3.0000,-0.0130,0.4564
12.766,3,attack,-0.0000,0.2233,-0.3693,-0.0000,0.0000,-0.0130,0.4205,-0.0000,2.2262,-0.3889,-0.0000,2.0000,-0.0130,0.4387,-0.0000,3.2327,-0.3796,-0.0000,3.0000,-0.0130,0.4342
12.863,3,attack,-0.0000,0.2380,-0.3794,-0.0000,0.0000,-0.0130,0.4369,-0.0000,2.2725,-0.3802,-0.0000,2.0000,-0.0130,0.4572,-0.0000,3.2648,-0.3745,-0.0000,3.0000,-0.0130,0.4481
12.963,3,attack,-0.0000,0.2486,-0.3944,-0.0000,0.0000,-0.0130,0.4553,-0.0000,2.2198,-0.3779,-0.0000,2.0000,-0.0130,0.4259,-0.0000,3.2286,-0.3937,-0.0000,3.0000,-0.0130,0.4441
13.079,3,attack,-0.0000,0.2245,-0.3824,-0.0000,0.0000,-0.0130,0.4323,-0.0000,2.2186,-0.4012,-0.0000,2.0000,-0.0130,0.4455,-0.0000,3.2096,-0.3941,-0.0000,3.0000,-0.0130,0.4350
13.163,3,attack,-0.0000,0.2695,-0.4056,-0.0000,0.0000,-0.0130,0.4762,-0.0000,2.2683,-0.3986,-0.0000,2.0000,-0.0130,0.4697,-0.0000,3.2628,-0.3893,-0.0000,3.0000,-0.0130,0.4590
13.264,3,attack,-0.0000,0.2384,-0.3996,-0.0000,0.0000,-0.0130,0.4542,-0.0000,2.2197,-0.3938,-0.0000,2.0000,-0.0130,0.4397,-0.0000,3.3047,-0.3931,-0.0000,3.0000,-0.0130,0.4871
13.363,3,attack,-0.0000,0.2407,-0.3947,-0.0000,0.0000,-0.0130,0.4512,-0.0000,2.2188,-0.3880,-0.0000,2.0000,-0.0130,0.4342,-0.0000,3.2287,-0.3972,-0.0000,3.0000,-0.0130,0.4471
13.465,3,attack,-0.0000,0.2163,-0.4003,-0.0000,0.0000,-0.0130,0.4435,-0.0000,2.2215,-0.4042,-0.0000,2.0000,-0.0130,0.4495,-0.0000,3.1992,-0.3684,-0.0000,3.0000,-0.0130,0.4074
13.583,3,attack,-0.0000,0.2217,-0.3773,-0.0000,0.0000,-0.0130,0.4264,-0.0000,2.2406,-0.3941,-0.0000,2.0000,-0.0130,0.4507,-0.0000,3.2263,-0.3836,-0.0000,3.0000,-0.0130,0.4343
13.663,3,attack,-0.0000,0.2303,-0.3849,-0.0000,0.0000,-0.0130,0.4375,-0.0000,2.1979,-0.3957,-0.0000,2.0000,-0.0130,0.4308,-0.0000,3.1711,-0.3961,-0.0000,3.0000,-0.0130,0.4196
13.763,3,attack,-0.0000,0.2455,-0.3727,-0.0000,0.0000,-0.0130,0.4355,-0.0000,2.2131,-0.3800,-0.0000,2.0000,-0.0130,0.4244,-0.0000,3.2109,-0.3859,-0.0000,3.0000,-0.0130,0.4284
13.863,3,attack,-0.0000,0.2073,-0.4116,-0.0000,0.0000,-0.0130,0.4493,-0.0000,2.2112,-0.3973,-0.0000,2.0000,-0.0130,0.4385,-0.0000,3.2103,-0.4018,-0.0000,3.0000,-0.0130,0.4420
13.964,3,attack,-0.0000,0.2462,-0.4014,-0.0000,0.0000,-0.0130,0.4598,-0.0000,2.1848,-0.4012,-0.0000,2.0000,-0.0130,0.4300,-0.0000,3.2309,-0.4061,-0.0000,3.0000,-0.0130,0.4559
14.081,3,attack,-0.0000,0.2156,-0.3982,-0.0000,0.0000,-0.0130,0.4414,-0.0000,2.1930,-0.3848,-0.0000,2.0000,-0.0130,0.4189,-0.0000,3.2107,-0.3855,-0.0000,3.0000,-0.0130,0.4280
14.164,3,attack,-0.0000,0.1983,-0.3829,-0.0000,0.0000,-0.0130,0.4197,-0.0000,2.1889,-0.3783,-0.0000,2.0000,-0.0130,0.4113,-0.0000,3.2170,-0.3834,-0.0000,3.0000,-0.0130,0.4293
14.263,3,attack,-0.0000,0.1873,-0.3811,-0.0000,0.0000,-0.0130,0.4130,-0.0000,2.1868,-0.3774,-0.0000,2.0000,-0.0130,0.4095,-0.0000,3.1511,-0.3783,-0.0000,3.0000,-0.0130,0.3953
14.363,3,attack,-0.0000,0.1596,-0.3695,-0.0000,0.0000,-0.0130,0.3906,-0.0000,2.1649,-0.3928,-0.0000,2.0000,-0.0130,0.4141,-0.0000,3.1591,-0.3797,-0.0000,3.0000,-0.0130,0.3998
14.471,3,attack,-0.0000,0.1644,-0.3690,-0.0000,0.0000,-0.0130,0.3921,-0.0000,2.1682,-0.3574,-0.0000,2.0000,-0.0130,0.3833,-0.0000,3.1359,-0.3672,-0.0000,3.0000,-0.0130,0.3794
14.572,3,attack,-0.0000,0.1636,-0.3623,-0.0000,0.0000,-0.0130,0.3857,-0.0000,2.1258,-0.3488,-0.0000,2.0000,-0.0130,0.3586,-0.0000,3.1542,-0.3512,-0.0000,3.0000,-0.0130,0.3717
14.662,3,attack,-0.0000,0.1045,-0.3439,-0.0000,0.0000,-0.0130,0.3470,-0.0000,2.1158,-0.3513,-0.0000,2.0000,-0.0130,0.3575,-0.0000,3.1514,-0.3449,-0.0000,3.0000,-0.0130,0.3648
14.765,3,attack,-0.0000,0.1474,-0.3377,-0.0000,0.0000,-0.0130,0.3566,-0.0000,2.1481,-0.3493,-0.0000,2.0000,-0.0130,0.3674,-0.0000,3.1113,-0.3515,-0.0000,3.0000,-0.0130,0.3564
14.863,3,attack,-0.0000,0.1271,-0.3563,-0.0000,0.0000,-0.0130,0.3661,-0.0000,2.1941,-0.3374,-0.0000,2.0000,-0.0130,0.3780,-0.0000,3.1331,-0.3307,-0.0000,3.0000,-0.0130,0.3445
14.966,3,attack,-0.0000,0.1782,-0.3440,-0.0000,0.0000,-0.0130,0.3759,-0.0000,2.1798,-0.3257,-0.0000,2.0000,-0.0130,0.3608,-0.0000,3.2119,-0.3361,-0.0000,3.0000,-0.0130,0.3864
15.063,3,attack,-0.0000,0.1807,-0.3522,-0.0000,0.0000,-0.0130,0.3844,-0.0000,2.1887,-0.3409,-0.0000,2.0000,-0.0130,0.3783,-0.0000,3.1973,-0.3468,-0.0000,3.0000,-0.0130,0.3877
15.165,3,attack,-0.0000,0.2524,-0.3534,-0.0000,0.0000,-0.0130,0.4238,-0.0000,2.2461,-0.3532,-0.0000,2.0000,-0.0130,0.4199,-0.0000,3.1792,-0.3422,-0.0000,3.0000,-0.0130,0.3748
15.262,3,attack,-0.0000,0.2138,-0.3523,-0.0000,0.0000,-0.0130,0.4010,-0.0000,2.2183,-0.3386,-0.0000,2.0000,-0.0130,0.3921,-0.0000,3.1717,-0.3438,-0.0000,3.0000,-0.0130,0.3727
15.363,3,attack,-0.0000,0.1440,-0.3626,-0.0000,0.0000,-0.0130,0.3781,-0.0000,2.1072,-0.3498,-0.0000,2.0000,-0.0130,0.3535,-0.0000,3.1736,-0.3539,-0.0000,3.0000,-0.0130,0.3826
15.467,3,attack,-0.0000,0.1526,-0.3448,-0.0000,0.0000,-0.0130,0.3652,-0.0000,2.1603,-0.3525,-0.0000,2.0000,-0.0130,0.3755,-0.0000,3.1583,-0.3500,-0.0000,3.0000,-0.0130,0.3723
15.575,3,attack,-0.0000,0.1581,-0.3509,-0.0000,0.0000,-0.0130,0.3730,-0.0000,2.1697,-0.3548,-0.0000,2.0000,-0.0130,0.3816,-0.0000,3.1559,-0.3455,-0.0000,3.0000,-0.0130,0.3672
15.663,3,attack,-0.0000,0.1394,-0.3438,-0.0000,0.0000,-0.0130,0.3590,-0.0000,2.1861,-0.3470,-0.0000,2.0000,-0.0130,0.3824,-0.0000,3.1652,-0.3446,-0.0000,3.0000,-0.0130,0.3705
15.793,3,attack,-0.0000,0.1998,-0.3678,-0.0000,0.0000,-0.0130,0.4072,-0.0000,2.1924,-0.3656,-0.0000,2.0000,-0.0130,0.4017,-0.0000,3.2137,-0.3466,-0.0000,3.0000,-0.0130,0.3962
15.866,3,attack,-0.0000,0.1678,-0.3517,-0.0000,0.0000,-0.0130,0.3780,-0.0000,2.2171,-0.3630,-0.0000,2.0000,-0.0130,0.4119,-0.0000,3.1355,-0.3640,-0.0000,3.0000,-0.0130,0.3763
15.963,3,attack,-0.0000,0.1202,-0.3505,-0.0000,0.0000,-0.0130,0.3583,-0.0000,2.1635,-0.3468,-0.0000,2.0000,-0.0130,0.3717,-0.0000,3.1616,-0.3422,-0.0000,3.0000,-0.0130,0.3668
16.068,3,attack,-0.0000,0.1677,-0.3551,-0.0000,0.0000,-0.0130,0.3810,-0.0000,2.1320,-0.3590,-0.0000,2.0000,-0.0130,0.3703,-0.0000,3.1358,-0.3537,-0.0000,3.0000,-0.0130,0.3667
16.164,3,attack,-0.0000,0.1548,-0.3424,-0.0000,0.0000,-0.0130,0.3640,-0.0000,2.2167,-0.3357,-0.0000,2.0000,-0.0130,0.3887,-0.0000,3.1970,-0.3462,-0.0000,3.0000,-0.0130,0.3871
16.265,3,attack,-0.0000,0.1941,-0.3483,-0.0000,0.0000,-0.0130,0.3874,-0.0000,2.1616,-0.3416,-0.0000,2.0000,-0.0130,0.3662,-0.0000,3.1966,-0.3438,-0.0000,3.0000,-0.0130,0.3848
16.363,3,attack,-0.0000,0.1318,-0.3535,-0.0000,0.0000,-0.0130,0.3651,-0.0000,2.1585,-0.3716,-0.0000,2.0000,-0.0130,0.3920,-0.0000,3.1812,-0.3526,-0.0000,3.0000,-0.0130,0.3849
16.462,3,attack,-0.0000,0.1661,-0.3626,-0.0000,0.0000,-0.0130,0.3870,-0.0000,2.1502,-0.3850,-0.0000,2.0000,-0.0130,0.4011,-0.0000,3.1684,-0.3790,-0.0000,3.0000,-0.0130,0.4029
16.566,3,attack,-0.0000,0.1436,-0.3633,-0.0000,0.0000,-0.0130,0.3786,-0.0000,2.1684,-0.3675,-0.0000,2.0000,-0.0130,0.3924,-0.0000,3.1772,-0.3780,-0.0000,3.0000,-0.0130,0.4057
16.663,3,attack,-0.0000,0.1920,-0.3901,-0.0000,0.0000,-0.0130,0.4231,-0.0000,2.1489,-0.3870,-0.0000,2.0000,-0.0130,0.4025,-0.0000,3.1831,-0.3842,-0.0000,3.0000,-0.0130,0.4139
16.765,3,attack,-0.0000,0.1658,-0.3956,-0.0000,0.0000,-0.0130,0.4170,-0.0000,2.1749,-0.4018,-0.0000,2.0000,-0.0130,0.4263,-0.0000,3.1546,-0.3803,-0.0000,3.0000,-0.0130,0.3985
16.866,3,attack,-0.0000,0.1860,-0.4061,-0.0000,0.0000,-0.0130,0.4349,-0.0000,2.1734,-0.4125,-0.0000,2.0000,-0.0130,0.4355,-0.0000,3.1733,-0.4180,-0.0000,3.0000,-0.0130,0.4405
16.964,3,attack,-0.0000,0.1715,-0.4231,-0.0000,0.0000,-0.0130,0.4446,-0.0000,2.1315,-0.4108,-0.0000,2.0000,-0.0130,0.4190,-0.0000,3.1448,-0.4183,-0.0000,3.0000,-0.0130,0.4304
17.064,3,attack,-0.0000,0.1601,-0.4195,-0.0000,0.0000,-0.0130,0.4368,-0.0000,2.1176,-0.4169,-0.0000,2.0000,-0.0130,0.4207,-0.0000,3.1135,-0.4181,-0.0000,3.0000,-0.0130,0.4207
17.166,3,attack,-0.0000,0.1293,-0.4056,-0.0000,0.0000,-0.0130,0.4133,-0.0000,2.1520,-0.4027,-0.0000,2.0000,-0.0130,0.4183,-0.0000,3.1365,-0.4039,-0.0000,3.0000,-0.0130,0.4140
17.263,3,attack,-0.0000,0.1812,-0.4114,-0.0000,0.0000,-0.0130,0.4376,-0.0000,2.1989,-0.4124,-0.0000,2.0000,-0.0130,0.4462,-0.0000,3.1987,-0.3863,-0.0000,3.0000,-0.0130,0.4229
17.363,3,attack,-0.0000,0.1929,-0.4106,-0.0000,0.0000,-0.0130,0.4420,-0.0000,2.1980,-0.4064,-0.0000,2.0000,-0.0130,0.4404,-0.0000,3.1979,-0.4017,-0.0000,3.0000,-0.0130,0.4361
17.463,3,attack,-0.0000,0.1928,-0.4056,-0.0000,0.0000,-0.0130,0.4373,-0.0000,2.1699,-0.3985,-0.0000,2.0000,-0.0130,0.4213,-0.0000,3.1964,-0.3910,-0.0000,3.0000,-0.0130,0.4260
17.564,3,attack,-0.0000,0.2078,-0.3850,-0.0000,0.0000,-0.0130,0.4261,-0.0000,2.1911,-0.4070,-0.0000,2.0000,-0.0130,0.4379,-0.0000,3.1940,-0.4046,-0.0000,3.0000,-0.0130,0.4370
17.666,3,attack,-0.0000,0.2478,-0.4076,-0.0000,0.0000,-0.0130,0.4659,-0.0000,2.1891,-0.3990,-0.0000,2.0000,-0.0130,0.4298,-0.0000,3.2150,-0.3981,-0.0000,3.0000,-0.0130,0.4411
17.771,3,attack,-0.0000,0.1726,-0.3852,-0.0000,0.0000,-0.0130,0.4102,-0.0000,2.1848,-0.4072,-0.0000,2.0000,-0.0130,0.4353,-0.0000,3.2014,-0.4060,-0.0000,3.0000,-0.0130,0.4416
17.863,3,attack,-0.0000,0.1918,-0.4405,-0.0000,0.0000,-0.0130,0.4685,-0.0000,2.2089,-0.4441,-0.0000,2.0000,-0.0130,0.4791,-0.0000,3.2501,-0.4297,-0.0000,3.0000,-0.0130,0.4860
17.975,3,attack,-0.0000,0.1935,-0.4224,-0.0000,0.0000,-0.0130,0.4528,-0.0000,2.1963,-0.4285,-0.0000,2.0000,-0.0130,0.4595,-0.0000,3.2444,-0.4313,-0.0000,3.0000,-0.0130,0.4844
18.067,3,attack,-0.0000,0.1685,-0.4175,-0.0000,0.0000,-0.0130,0.4382,-0.0000,2.1971,-0.4315,-0.0000,2.0000,-0.0130,0.4626,-0.0000,3.1686,-0.4353,-0.0000,3.0000,-0.0130,0.4547
18.165,3,attack,-0.0000,0.2066,-0.4322,-0.0000,0.0000,-0.0130,0.4673,-0.0000,2.2049,-0.4235,-0.0000,2.0000,-0.0130,0.4588,-0.0000,3.1994,-0.4391,-0.0000,3.0000,-0.0130,0.4704
18.263,3,attack,-0.0000,0.1893,-0.4071,-0.0000,0.0000,-0.0130,0.4372,-0.0000,2.1324,-0.4261,-0.0000,2.0000,-0.0130,0.4338,-0.0000,3.1903,-0.4279,-0.0000,3.0000,-0.0130,0.4564
18.370,3,attack,-0.0000,0.1797,-0.4320,-0.0000,0.0000,-0.0130,0.4559,-0.0000,2.1802,-0.4212,-0.0000,2.0000,-0.0130,0.4462,-0.0000,3.1976,-0.4128,-0.0000,3.0000,-0.0130,0.4460
18.463,3,attack,-0.0000,0.1843,-0.4100,-0.0000,0.0000,-0.0130,0.4377,-0.0000,2.1649,-0.4224,-0.0000,2.0000,-0.0130,0.4414,-0.0000,3.1375,-0.4181,-0.0000,3.0000,-0.0130,0.4278
18.575,3,attack,-0.0000,0.1588,-0.4259,-0.0000,0.0000,-0.0130,0.4424,-0.0000,2.1379,-0.4304,-0.0000,2.0000,-0.0130,0.4396,-0.0000,3.1736,-0.4243,-0.0000,3.0000,-0.0130,0.4464
18.663,3,attack,-0.0000,0.1838,-0.4487,-0.0000,0.0000,-0.0130,0.4729,-0.0000,2.1288,-0.4347,-0.0000,2.0000,-0.0130,0.4410,-0.0000,3.1383,-0.4247,-0.0000,3.0000,-0.0130,0.4343
18.764,3,attack,-0.0000,0.1624,-0.4208,-0.0000,0.0000,-0.0130,0.4389,-0.0000,2.0695,-0.4280,-0.0000,2.0000,-0.0130,0.4208,-0.0000,3.1119,-0.4307,-0.0000,3.0000,-0.0130,0.4324
18.865,3,attack,-0.0000,0.1402,-0.4362,-0.0000,0.0000,-0.0130,0.4458,-0.0000,2.0917,-0.4210,-0.0000,2.0000,-0.0130,0.4182,-0.0000,3.1308,-0.4171,-0.0000,3.0000,-0.0130,0.4247
18.964,3,attack,-0.0000,0.0809,-0.4240,-0.0000,0.0000,-0.0130,0.4189,-0.0000,2.0531,-0.4184,-0.0000,2.0000,-0.0130,0.4089,-0.0000,3.0450,-0.4198,-0.0000,3.0000,-0.0130,0.4093
19.067,3,attack,-0.0000,0.0198,-0.4020,-0.0000,0.0000,-0.0130,0.3895,-0.0000,2.0067,-0.4176,-0.0000,2.0000,-0.0130,0.4047,-0.0000,3.0196,-0.4079,-0.0000,3.0000,-0.0130,0.3954
19.163,3,attack,-0.0000,0.0298,-0.4257,-0.0000,0.0000,-0.0130,0.4138,-0.0000,2.0287,-0.4254,-0.0000,2.0000,-0.0130,0.4134,-0.0000,3.0508,-0.4220,-0.0000,3.0000,-0.0130,0.4121
19.263,3,attack,-0.0000,0.0246,-0.4061,-0.0000,0.0000,-0.0130,0.3938,-0.0000,2.0046,-0.4102,-0.0000,2.0000,-0.0130,0.3972,-0.0000,3.0087,-0.4229,-0.0000,3.0000,-0.0130,0.4100
19.363,3,attack,-0.0000,-0.0299,-0.4289,-0.0000,0.0000,-0.0130,0.4169,-0.0000,2.0088,-0.4204,-0.0000,2.0000,-0.0130,0.4074,-0.0000,3.0317,-0.4212,-0.0000,3.0000,-0.0130,0.4094
19.463,3,attack,-0.0000,0.0085,-0.4273,-0.0000,0.0000,-0.0130,0.4143,-0.0000,2.0137,-0.4285,-0.0000,2.0000,-0.0130,0.4158,-0.0000,3.0463,-0.4401,-0.0000,3.0000,-0.0130,0.4296
19.564,3,attack,-0.0000,0.0570,-0.4226,-0.0000,0.0000,-0.0130,0.4135,-0.0000,2.0312,-0.4362,-0.0000,2.0000,-0.0130,0.4243,-0.0000,3.0923,-0.4358,-0.0000,3.0000,-0.0130,0.4328
19.664,3,attack,-0.0000,0.0208,-0.4583,-0.0000,0.0000,-0.0130,0.4458,-0.0000,2.0128,-0.4556,-0.0000,2.0000,-0.0130,0.4428,-0.0000,2.9418,-0.4399,-0.0000,3.0000,-0.0130,0.4308
19.766,3,attack,-0.0000,0.0385,-0.4437,-0.0000,0.0000,-0.0130,0.4324,-0.0000,2.0085,-0.4499,-0.0000,2.0000,-0.0130,0.4370,-0.0000,3.0113,-0.4389,-0.0000,3.0000,-0.0130,0.4260
19.863,3,attack,-0.0000,0.0514,-0.4421,-0.0000,0.0000,-0.0130,0.4321,-0.0000,2.0229,-0.4447,-0.0000,2.0000,-0.0130,0.4323,-0.0000,3.0011,-0.4389,-0.0000,3.0000,-0.0130,0.4259
19.963,3,attack,-0.0000,0.0521,-0.4338,-0.0000,0.0000,-0.0130,0.4240,-0.0000,2.0552,-0.4284,-0.0000,2.0000,-0.0130,0.4191,-0.0000,3.0567,-0.4372,-0.0000,3.0000,-0.0130,0.4280
20.070,3,attack,-0.0000,0.0122,-0.4414,-0.0000,0.0000,-0.0130,0.4286,-0.0000,2.0314,-0.4510,-0.0000,2.0000,-0.0130,0.4392,-0.0000,3.0435,-0.4406,-0.0000,3.0000,-0.0130,0.4298
20.163,3,attack,-0.0000,0.0606,-0.4464,-0.0000,0.0000,-0.0130,0.4376,-0.0000,2.0085,-0.4350,-0.0000,2.0000,-0.0130,0.4221,-0.0000,2.9826,-0.4480,-0.0000,3.0000,-0.0130,0.4354
20.263,3,attack,-0.0000,0.0025,-0.4443,-0.0000,0.0000,-0.0130,0.4313,-0.0000,2.0129,-0.4561,-0.0000,2.0000,-0.0130,0.4433,-0.0000,3.0386,-0.4515,-0.0000,3.0000,-0.0130,0.4402
20.363,3,attack,-0.0000,0.0130,-0.4692,-0.0000,0.0000,-0.0130,0.4564,-0.0000,2.0085,-0.4610,-0.0000,2.0000,-0.0130,0.4481,-0.0000,3.0157,-0.4761,-0.0000,3.0000,-0.0130,0.4634
20.466,3,attack,-0.0000,-0.0170,-0.4598,-0.0000,0.0000,-0.0130,0.4472,-0.0000,1.9981,-0.4631,-0.0000,2.0000,-0.0130,0.4501,-0.0000,3.0327,-0.4792,-0.0000,3.0000,-0.0130,0.4674
20.565,3,attack,-0.0000,0.0373,-0.4942,-0.0000,0.0000,-0.0130,0.4826,-0.0000,2.0241,-0.4925,-0.0000,2.0000,-0.0130,0.4801,-0.0000,3.0486,-0.4867,-0.0000,3.0000,-0.0130,0.4762
20.667,3,attack,-0.0000,0.0738,-0.5123,-0.0000,0.0000,-0.0130,0.5047,-0.0000,2.0286,-0.4952,-0.0000,2.0000,-0.0130,0.4831,-0.0000,3.0123,-0.4997,-0.0000,3.0000,-0.0130,0.4868
20.764,3,attack,-0.0000,0.0095,-0.5001,-0.0000,0.0000,-0.0130,0.4872,-0.0000,1.9830,-0.4953,-0.0000,2.0000,-0.0130,0.4826,-0.0000,2.9843,-0.5174,-0.0000,3.0000,-0.0130,0.5046
20.864,3,attack,-0.0000,0.0095,-0.4869,-0.0000,0.0000,-0.0130,0.4740,-0.0000,2.0105,-0.4954,-0.0000,2.0000,-0.0130,0.4825,-0.0000,3.0113,-0.4982,-0.0000,3.0000,-0.0130,0.4854
20.969,3,attack,-0.0000,0.0153,-0.4887,-0.0000,0.0000,-0.0130,0.4760,-0.0000,2.0181,-0.4771,-0.0000,2.0000,-0.0130,0.4644,-0.0000,3.0334,-0.4813,-0.0000,3.0000,-0.0130,0.4695
21.065,3,attack,-0.0000,0.0124,-0.4695,-0.0000,0.0000,-0.0130,0.4567,-0.0000,2.0166,-0.4880,-0.0000,2.0000,-0.0130,0.4753,-0.0000,3.0366,-0.4913,-0.0000,3.0000,-0.0130,0.4797
21.163,3,attack,-0.0000,0.0264,-0.4970,-0.0000,0.0000,-0.0130,0.4847,-0.0000,2.0283,-0.4860,-0.0000,2.0000,-0.0130,0.4739,-0.0000,3.0505,-0.4746,-0.0000,3.0000,-0.0130,0.4644
21.263,3,attack,-0.0000,0.0315,-0.4912,-0.0000,0.0000,-0.0130,0.4792,-0.0000,2.0424,-0.4979,-0.0000,2.0000,-0.0130,0.4867,-0.0000,3.0220,-0.5020,-0.0000,3.0000,-0.0130,0.4895
21.364,3,attack,-0.0000,0.0446,-0.4882,-0.0000,0.0000,-0.0130,0.4773,-0.0000,2.0167,-0.4929,-0.0000,2.0000,-0.0130,0.4802,-0.0000,3.0417,-0.5031,-0.0000,3.0000,-0.0130,0.4919
21.463,3,attack,-0.0000,0.0077,-0.4819,-0.0000,0.0000,-0.0130,0.4690,-0.0000,1.9934,-0.4885,-0.0000,2.0000,-0.0130,0.4756,-0.0000,3.0213,-0.4919,-0.0000,3.0000,-0.0130,0.4794
21.564,3,attack,-0.0000,0.0201,-0.5063,-0.0000,0.0000,-0.0130,0.4937,-0.0000,2.0612,-0.4923,-0.0000,2.0000,-0.0130,0.4832,-0.0000,3.0115,-0.4909,-0.0000,3.0000,-0.0130,0.4781
21.668,3,attack,-0.0000,0.0040,-0.4907,-0.0000,0.0000,-0.0130,0.4778,-0.0000,1.9710,-0.4908,-0.0000,2.0000,-0.0130,0.4787,-0.0000,3.0521,-0.4779,-0.0000,3.0000,-0.0130,0.4678
21.766,3,attack,-0.0000,-0.0073,-0.4880,-0.0000,0.0000,-0.0130,0.4750,-0.0000,1.9833,-0.4756,-0.0000,2.0000,-0.0130,0.4629,-0.0000,3.0317,-0.4852,-0.0000,3.0000,-0.0130,0.4733
21.872,3,attack,-0.0000,-0.0549,-0.4594,-0.0000,0.0000,-0.0130,0.4497,-0.0000,1.9847,-0.4807,-0.0000,2.0000,-0.0130,0.4680,-0.0000,2.9432,-0.4817,-0.0000,3.0000,-0.0130,0.4722
21.963,3,attack,-0.0000,-0.0105,-0.4494,-0.0000,0.0000,-0.0130,0.4365,-0.0000,1.9870,-0.4737,-0.0000,2.0000,-0.0130,0.4609,-0.0000,3.0220,-0.4628,-0.0000,3.0000,-0.0130,0.4504
