t_s,num_ghosts,phase,px4_1_est_x,px4_1_est_y,px4_1_est_z,px4_1_gt_x,px4_1_gt_y,px4_1_gt_z,px4_1_error_m,px4_3_est_x,px4_3_est_y,px4_3_est_z,px4_3_gt_x,px4_3_gt_y,px4_3_gt_z,px4_3_error_m,px4_4_est_x,px4_4_est_y,px4_4_est_z,px4_4_gt_x,px4_4_gt_y,px4_4_gt_z,px4_4_error_m
4.268,3,warmup,-0.0000,-0.1448,-0.4659,-0.0000,0.0000,-0.0130,0.4755,-0.0000,1.8292,-0.4831,-0.0000,2.0000,-0.0130,0.5002,-0.0000,2.8044,-0.4812,-0.0000,3.0000,-0.0130,0.5074
4.366,3,warmup,-0.0000,-0.1528,-0.4647,-0.0000,0.0000,-0.0130,0.4768,-0.0000,1.8068,-0.4792,-0.0000,2.0000,-0.0130,0.5047,-0.0000,2.8129,-0.4742,-0.0000,3.0000,-0.0130,0.4977
4.464,3,warmup,-0.0000,-0.2244,-0.4766,-0.0000,0.0000,-0.0130,0.5150,-0.0000,1.7880,-0.4778,-0.0000,2.0000,-0.0130,0.5109,-0.0000,2.8184,-0.4548,-0.0000,3.0000,-0.0130,0.4777
4.568,3,warmup,-0.0000,-0.2070,-0.4710,-0.0000,0.0000,-0.0130,0.5026,-0.0000,1.8166,-0.4586,-0.0000,2.0000,-0.0130,0.4818,-0.0000,2.8303,-0.4568,-0.0000,3.0000,-0.0130,0.4752
4.662,3,warmup,-0.0000,-0.1863,-0.4853,-0.0000,0.0000,-0.0130,0.5077,-0.0000,1.8508,-0.4637,-0.0000,2.0000,-0.0130,0.4748,-0.0000,2.8257,-0.4902,-0.0000,3.0000,-0.0130,0.5080
4.763,3,warmup,-0.0000,-0.1561,-0.4633,-0.0000,0.0000,-0.0130,0.4766,-0.0000,1.8184,-0.4712,-0.0000,2.0000,-0.0130,0.4929,-0.0000,2.8120,-0.4750,-0.0000,3.0000,-0.0130,0.4988
4.863,3,warmup,-0.0000,-0.1878,-0.4544,-0.0000,0.0000,-0.0130,0.4797,-0.0000,1.8069,-0.4614,-0.0000,2.0000,-0.0130,0.4882,-0.0000,2.8576,-0.4620,-0.0000,3.0000,-0.0130,0.4711
4.965,3,warmup,-0.0000,-0.1814,-0.4786,-0.0000,0.0000,-0.0130,0.4997,-0.0000,1.7497,-0.4600,-0.0000,2.0000,-0.0130,0.5122,-0.0000,2.7239,-0.4622,-0.0000,3.0000,-0.0130,0.5273
5.066,3,attack,-0.0000,-0.2115,-0.4746,-0.0000,0.0000,-0.0130,0.5077,-0.0000,1.8027,-0.4674,-0.0000,2.0000,-0.0130,0.4954,-0.0000,2.7582,-0.4544,-0.0000,3.0000,-0.0130,0.5033
5.163,3,attack,-0.0000,-0.2250,-0.4765,-0.0000,0.0000,-0.0130,0.5152,-0.0000,1.7721,-0.4751,-0.0000,2.0000,-0.0130,0.5152,-0.0000,2.8120,-0.4636,-0.0000,3.0000,-0.0130,0.4883
5.272,3,attack,-0.0000,-0.2080,-0.4584,-0.0000,0.0000,-0.0130,0.4915,-0.0000,1.7923,-0.4605,-0.0000,2.0000,-0.0130,0.4934,-0.0000,2.7983,-0.4661,-0.0000,3.0000,-0.0130,0.4960
5.364,3,attack,-0.0000,-0.2368,-0.4839,-0.0000,0.0000,-0.0130,0.5271,-0.0000,1.7983,-0.4476,-0.0000,2.0000,-0.0130,0.4791,-0.0000,2.7569,-0.4542,-0.0000,3.0000,-0.0130,0.5038
5.464,3,attack,-0.0000,-0.2043,-0.4620,-0.0000,0.0000,-0.0130,0.4933,-0.0000,1.7860,-0.4522,-0.0000,2.0000,-0.0130,0.4886,-0.0000,2.7820,-0.4473,-0.0000,3.0000,-0.0130,0.4860
5.576,3,attack,-0.0000,-0.2275,-0.4191,-0.0000,0.0000,-0.0130,0.4655,-0.0000,1.7411,-0.4291,-0.0000,2.0000,-0.0130,0.4901,-0.0000,2.7891,-0.4386,-0.0000,3.0000,-0.0130,0.4750
5.663,3,attack,-0.0000,-0.1951,-0.4106,-0.0000,0.0000,-0.0130,0.4429,-0.0000,1.7758,-0.4352,-0.0000,2.0000,-0.0130,0.4780,-0.0000,2.7722,-0.4226,-0.0000,3.0000,-0.0130,0.4686
5.763,3,attack,-0.0000,-0.2499,-0.4129,-0.0000,0.0000,-0.0130,0.4715,-0.0000,1.7959,-0.4166,-0.0000,2.0000,-0.0130,0.4523,-0.0000,2.7770,-0.4174,-0.0000,3.0000,-0.0130,0.4618
5.863,3,attack,-0.0000,-0.2187,-0.4089,-0.0000,0.0000,-0.0130,0.4523,-0.0000,1.7509,-0.4158,-0.0000,2.0000,-0.0130,0.4736,-0.0000,2.7770,-0.4166,-0.0000,3.0000,-0.0130,0.4611
5.965,3,attack,-0.0000,-0.1901,-0.4212,-0.0000,0.0000,-0.0130,0.4503,-0.0000,1.7909,-0.4113,-0.0000,2.0000,-0.0130,0.4499,-0.0000,2.7862,-0.4056,-0.0000,3.0000,-0.0130,0.4470
6.067,3,attack,-0.0000,-0.1858,-0.4040,-0.0000,0.0000,-0.0130,0.4329,-0.0000,1.8326,-0.4024,-0.0000,2.0000,-0.0130,0.4239,-0.0000,2.7946,-0.4071,-0.0000,3.0000,-0.0130,0.4444
