t_sec,x,y,z,solve_ms,best_inliers,n_neighbours
0.734,0.0344,0.0052,-0.0036,27.383,3,4
0.811,-0.0235,-0.0081,-0.0076,10.517,3,4
0.922,0.0145,-0.0014,0.0103,11.880,3,4
1.011,0.0114,0.0016,-0.0127,10.203,3,4
1.114,-0.0337,-0.0087,-0.0118,13.476,3,4
1.212,-0.0237,-0.0035,-0.0137,11.571,3,4
1.342,-0.0123,0.0047,-0.0107,40.310,3,4
1.411,0.0149,0.0062,-0.0048,9.887,3,4
1.513,0.0397,0.0051,-0.0013,12.162,3,4
1.612,0.0054,0.0114,0.0264,10.669,3,4
1.714,0.0176,0.0112,-0.0031,12.617,3,4
1.813,0.0222,0.0025,0.0107,11.513,3,4
1.912,-0.0325,-0.0131,-0.0261,10.464,3,4
2.009,-0.0610,-0.0149,-0.0294,7.929,4,4
2.110,-0.0558,-0.0087,-0.1073,9.243,4,4
2.208,-0.0193,-0.0070,-0.1086,6.587,4,4
2.312,0.0211,-0.0118,-0.0775,10.920,4,4
2.411,-0.0034,-0.0032,-0.1488,9.895,4,4
2.510,-0.0066,-0.0283,-0.1232,8.846,4,4
2.609,0.0100,0.0026,-0.1225,8.091,4,4
2.707,0.0090,0.0001,-0.1192,5.845,4,4
2.809,0.0316,-0.0132,-0.1904,8.614,4,4
2.914,-0.0234,0.0277,-0.1635,13.056,4,4
3.009,-0.0662,-0.0176,-0.1931,8.317,4,4
3.108,0.0031,-0.0102,-0.1795,7.280,4,4
3.206,-0.0155,-0.0095,-0.1863,5.611,4,4
3.309,-0.0669,-0.0258,-0.2210,7.964,4,4
3.408,0.0102,-0.0015,-0.2060,6.770,4,4
3.510,0.0031,-0.0244,-0.1889,9.210,4,4
3.610,-0.0049,-0.0217,-0.2104,9.096,4,4
3.708,0.0239,-0.0376,-0.1954,6.461,4,4
3.807,0.0143,-0.0218,-0.1981,5.770,4,4
3.907,-0.0348,-0.0201,-0.2037,6.308,4,4
4.007,0.0280,-0.0247,-0.1921,6.010,4,4
4.107,0.0272,-0.0521,-0.2166,5.853,4,4
4.208,0.0489,-0.0545,-0.1722,7.693,4,4
4.309,-0.0022,-0.0479,-0.2142,8.575,4,4
4.407,0.0353,-0.0233,-0.2033,6.310,4,4
4.508,0.0301,-0.0167,-0.2047,7.423,4,4
4.609,0.0180,-0.0088,-0.2008,7.985,4,4
4.708,-0.0020,-0.0014,-0.2082,6.420,4,4
4.807,0.0145,-0.0179,-0.1817,6.037,4,4
4.907,0.0348,-0.0186,-0.1763,6.120,4,4
5.009,0.0306,0.0021,-0.1327,7.944,4,4
5.108,0.0339,-0.0037,-0.1067,6.507,4,4
5.207,-0.0648,-0.0113,-0.1042,6.287,4,4
5.311,0.0053,-0.0245,-0.1486,9.780,4,4
5.408,-0.0053,-0.0334,-0.1447,7.056,4,4
5.512,-0.0111,-0.0169,-0.1161,11.222,4,4
5.611,0.0140,-0.0038,-0.1088,10.159,4,4
5.712,0.0353,0.0198,-0.1328,10.600,4,4
5.807,0.0205,0.0506,-0.1244,6.504,4,4
5.910,0.0081,0.0436,-0.1191,8.972,4,4
6.007,0.0271,0.0353,-0.1021,6.034,4,4
6.110,0.0820,0.0474,-0.0899,9.416,4,4
6.209,0.0798,0.0463,-0.1074,8.244,4,4
6.310,0.0898,0.0439,-0.1006,9.527,4,4
6.409,0.1004,0.0407,-0.1076,8.207,4,4
6.509,0.0842,0.0358,-0.1240,7.735,4,4
6.609,0.0924,0.0163,-0.0981,7.695,4,4
6.708,0.1145,0.0331,-0.0760,6.577,4,4
6.808,0.0975,0.0183,-0.0863,7.548,4,4
6.908,0.1038,0.0244,-0.1158,7.574,4,4
7.008,0.0850,-0.0100,-0.1391,6.420,4,4
7.106,0.1033,-0.0034,-0.1307,5.335,4,4
7.206,0.1188,0.0280,-0.1432,5.250,4,4
7.307,0.1370,-0.0124,-0.1065,6.249,4,4
7.407,0.1453,0.0030,-0.1282,5.735,4,4
7.506,0.1174,-0.0190,-0.0992,5.598,4,4
7.609,0.1125,-0.0114,-0.0774,7.695,4,4
7.706,0.0748,-0.0240,-0.0668,5.663,4,4
7.808,0.0858,0.0040,-0.0985,6.981,4,4
7.908,0.0911,0.0096,-0.0881,6.938,4,4
8.007,0.0716,0.0014,-0.1048,5.797,4,4
8.106,0.0833,-0.0119,-0.1393,5.246,4,4
8.207,0.1233,0.0152,-0.1103,5.900,4,4
8.308,0.0670,0.0073,-0.1264,7.010,4,4
8.406,0.1129,0.0166,-0.1053,5.622,4,4
8.507,0.0620,0.0216,-0.1359,6.062,4,4
8.608,0.0978,0.0036,-0.1470,7.436,4,4
8.707,0.1076,-0.0200,-0.1644,6.583,4,4
8.807,0.0965,-0.0127,-0.1280,5.797,4,4
8.908,0.1029,-0.0049,-0.1350,6.326,4,4
9.007,0.1344,0.0192,-0.1562,5.741,4,4
9.107,0.1305,0.0033,-0.1470,6.198,4,4
9.207,0.0957,-0.0133,-0.1205,5.914,4,4
9.306,0.1557,0.0159,-0.1879,5.227,4,4
9.408,0.1338,0.0249,-0.1488,7.179,4,4
9.508,0.1141,0.0372,-0.1371,6.879,4,4
9.607,0.1183,0.0372,-0.1468,5.739,4,4
9.708,0.0908,0.0418,-0.1218,7.509,4,4
9.806,0.1016,0.0061,-0.1407,5.108,4,4
9.906,0.0821,0.0172,-0.1360,5.346,4,4
10.008,0.0537,0.0304,-0.1833,7.555,4,4
10.109,0.0759,0.0181,-0.1612,8.276,4,4
10.206,0.0733,0.0065,-0.1492,5.528,4,4
10.306,0.0287,0.0091,-0.1277,5.206,4,4
