t_sec,x,y,z,solve_ms,best_inliers,n_neighbours
13.009,3.7899,2.2049,0.1144,8.129,4,4
13.109,3.8272,2.2329,0.0809,8.217,4,4
13.208,3.8046,2.1800,0.0667,7.691,4,4
13.309,3.8210,2.1903,0.0605,8.457,4,4
13.413,3.8381,2.2088,0.0588,11.910,4,4
13.510,3.7813,2.1881,0.0478,9.564,4,4
13.610,3.8241,2.2047,0.0599,8.726,4,4
13.707,3.8298,2.2106,0.0721,6.528,4,4
13.809,3.7979,2.2153,0.1004,8.213,4,4
13.909,3.8255,2.2182,0.0747,7.838,4,4
14.008,3.8229,2.2333,0.0617,7.229,4,4
14.109,3.8645,2.2707,0.0790,8.050,4,4
14.207,3.8396,2.2006,0.0460,6.264,4,4
14.309,3.8156,2.2540,0.0708,8.449,4,4
14.409,3.8345,2.2617,0.0740,8.397,4,4
14.508,3.8013,2.2456,0.0816,6.701,4,4
14.607,3.8176,2.2441,0.0561,6.579,4,4
14.709,3.7907,2.2310,0.0604,8.413,4,4
14.808,3.8366,2.2552,0.0623,7.854,4,4
14.908,3.8312,2.2476,0.0549,7.518,4,4
15.008,3.8368,2.2512,0.0456,7.002,4,4
15.108,3.8375,2.2358,0.0430,7.552,4,4
15.208,3.8341,2.2618,0.0931,7.471,4,4
15.308,3.8153,2.2724,0.0706,6.914,4,4
15.408,3.7993,2.2500,0.0738,7.542,4,4
15.508,3.7975,2.2738,0.0907,7.012,4,4
15.608,3.8049,2.3085,0.0654,7.279,4,4
15.707,3.7868,2.2983,0.1113,7.050,4,4
15.808,3.8109,2.3019,0.0882,7.134,4,4
15.908,3.8148,2.3289,0.0976,7.026,4,4
16.010,3.7932,2.2642,0.0844,8.329,4,4
16.108,3.8099,2.3312,0.1334,7.697,4,4
16.209,3.7708,2.2927,0.1458,8.143,4,4
16.310,3.8232,2.2759,0.1167,8.498,4,4
16.409,3.7808,2.3211,0.1470,7.615,4,4
16.508,3.7716,2.2743,0.1705,7.747,4,4
16.611,3.7578,2.2989,0.1853,9.980,4,4
16.710,3.7610,2.3130,0.1685,9.152,4,4
16.811,3.7418,2.2850,0.1497,10.461,4,4
16.909,3.7703,2.3032,0.1762,7.315,4,4
17.007,3.7917,2.2912,0.1768,6.925,4,4
17.110,3.7512,2.2933,0.1786,9.239,4,4
17.208,3.7512,2.2896,0.1967,7.227,4,4
17.309,3.7781,2.2894,0.1558,7.874,4,4
17.408,3.7878,2.2747,0.1342,6.651,4,4
17.507,3.7740,2.2399,0.1523,6.670,4,4
17.610,3.7904,2.2301,0.1630,9.691,4,4
17.709,3.7752,2.2307,0.1612,7.702,4,4
17.808,3.8090,2.2604,0.1433,7.809,4,4
17.911,3.7678,2.2329,0.1577,10.202,4,4
18.008,3.7554,2.2164,0.1174,7.464,4,4
18.109,3.7320,2.1992,0.1601,7.930,4,4
18.209,3.7132,2.1768,0.1564,7.744,4,4
18.308,3.7057,2.2171,0.1558,7.484,4,4
18.409,3.7396,2.1687,0.1454,8.154,4,4
18.509,3.7855,2.2274,0.1425,8.056,4,4
18.609,3.7521,2.1706,0.1274,7.982,4,4
18.708,3.7649,2.1806,0.1788,7.380,4,4
18.809,3.8038,2.2447,0.1564,8.358,4,4
18.908,3.7806,2.1986,0.1253,7.677,4,4
19.012,3.8007,2.2033,0.1459,11.161,4,4
19.108,3.7710,2.2039,0.1327,7.635,4,4
19.209,3.8168,2.2355,0.1464,7.902,4,4
19.310,3.8158,2.2535,0.1065,8.648,4,4
19.407,3.8698,2.2812,0.1024,6.133,4,4
19.513,3.8413,2.2658,0.1279,11.911,4,4
19.609,3.8880,2.3065,0.1034,8.058,4,4
19.711,3.8494,2.2779,0.1555,9.611,4,4
19.810,3.8831,2.3131,0.1403,8.599,4,4
19.911,3.8941,2.3301,0.1384,8.946,4,4
20.013,3.8730,2.3426,0.1473,11.997,4,4
20.110,3.8779,2.3394,0.1479,9.175,4,4
20.213,3.8629,2.3229,0.1393,11.720,4,4
20.309,3.8312,2.3035,0.1562,7.842,4,4
20.412,3.8758,2.3160,0.1058,11.380,4,4
20.509,3.8955,2.3099,0.0934,8.338,4,4
20.611,3.8787,2.3421,0.1226,9.427,4,4
20.709,3.8854,2.3479,0.1483,8.429,4,4
20.809,3.9209,2.3273,0.0956,7.771,4,4
20.908,3.9058,2.3392,0.1451,7.492,4,4
21.009,3.9290,2.3700,0.1317,7.977,4,4
21.108,3.9267,2.3288,0.0973,6.794,4,4
21.210,3.9446,2.3490,0.0921,8.880,4,4
21.307,3.9248,2.3416,0.0782,6.839,4,4
21.411,3.9322,2.3417,0.0430,9.828,4,4
21.509,3.9345,2.3876,0.0460,7.832,4,4
21.609,3.9727,2.3765,0.0390,7.895,4,4
21.710,3.9999,2.3891,0.0318,8.968,4,4
21.809,3.9902,2.3000,0.0505,8.490,4,4
21.908,4.0017,2.3559,0.0642,7.435,4,4
22.007,3.9973,2.3698,0.1008,6.798,4,4
22.109,3.9864,2.3272,0.0882,8.317,4,4
22.209,3.9749,2.3299,0.0838,8.286,4,4
22.310,3.9947,2.3683,0.0901,9.300,4,4
22.407,3.9664,2.3231,0.0696,6.749,4,4
22.510,3.9552,2.3256,0.0867,9.071,4,4
22.609,3.9682,2.2591,0.0640,7.682,4,4
22.709,4.0139,2.2421,0.0751,8.618,4,4
22.811,3.9342,2.2681,0.0703,9.762,4,4
22.908,3.9861,2.2771,0.0799,7.354,4,4
23.009,3.9838,2.2771,0.0786,7.555,4,4
23.112,3.9897,2.2605,0.0781,11.382,4,4
23.211,3.9805,2.2649,0.0661,10.558,4,4
23.308,3.9962,2.2750,0.0722,6.886,4,4
23.411,3.9555,2.2750,0.0340,9.924,4,4
