t_sec,x,y,z,solve_ms,n_zero_weights
1.103,3.9842,2.0142,-0.0270,2.217,3
1.203,3.9916,2.0039,-0.0052,2.125,0
1.303,4.0214,2.0195,-0.0529,2.565,0
1.404,4.0369,2.0535,-0.0090,2.614,0
1.502,3.9998,1.9841,-0.0288,1.838,0
1.603,4.0184,1.9828,-0.0051,2.254,0
1.703,4.0641,2.0000,-0.0440,1.883,0
1.803,4.0321,1.9990,-0.0367,2.150,0
1.903,4.0086,2.0254,-0.0388,2.075,0
2.003,4.0133,2.0037,-0.0673,2.103,0
2.102,4.0265,2.0118,-0.0361,1.859,0
2.204,4.0231,1.9803,-0.0655,3.009,0
2.303,4.0574,1.9981,-0.0580,2.097,0
2.403,4.0091,1.9704,-0.0675,2.228,0
2.503,4.0137,1.9504,-0.0592,1.832,0
2.605,4.0336,2.0034,-0.0509,3.564,0
2.702,4.0342,1.9740,-0.0731,1.791,0
2.803,4.0144,1.9844,-0.0535,2.426,0
2.903,4.0502,1.9772,-0.0566,2.576,0
3.004,3.9936,1.9642,-0.0561,2.318,0
3.102,4.0089,1.9820,-0.0358,1.959,0
3.203,4.0048,1.9558,-0.0656,1.588,0
3.303,3.9678,1.9620,-0.0544,2.221,0
3.402,3.9286,1.8952,-0.0417,1.721,0
3.503,3.9550,1.9176,-0.0270,2.620,0
3.603,3.9414,1.9551,-0.0369,1.855,0
3.703,3.9242,1.9370,-0.0144,2.165,0
3.803,3.9403,1.9062,-0.0811,2.588,0
3.902,3.8999,1.8833,-0.0628,1.369,0
4.003,3.9224,1.8898,-0.0789,2.344,0
4.103,3.9106,1.8746,-0.0493,1.692,0
4.202,3.9111,1.9321,-0.0472,1.772,0
4.302,3.9144,1.9385,-0.0223,1.607,0
4.403,3.8598,1.8879,-0.0417,1.723,0
4.502,3.8914,1.9156,-0.0533,1.609,0
4.602,3.9210,1.8995,-0.0672,1.345,0
4.703,3.8961,1.9165,-0.0703,1.362,0
4.802,3.8915,1.9238,-0.0693,1.654,0
4.902,3.8883,1.8902,-0.0814,1.463,0
5.003,3.9255,1.9443,-0.0652,2.099,0
5.103,3.9278,1.9415,-0.0523,2.060,0
