t_sec,x,y,z,solve_ms,n_zero_weights
12.902,-0.0292,-0.1831,4.8553,1.513,0
13.002,-0.0519,-0.1458,4.8542,1.438,0
13.103,-0.0708,-0.1141,4.8631,1.906,0
13.202,-0.0918,-0.1261,4.8550,1.485,0
13.303,-0.1048,-0.1470,4.8596,2.213,0
13.403,-0.1027,-0.1612,4.8537,2.191,0
13.502,-0.0845,-0.1666,4.8368,1.510,0
13.602,-0.1021,-0.1256,4.8344,1.565,0
13.703,-0.1043,-0.1544,4.8626,2.184,0
13.802,-0.1330,-0.1598,4.8810,1.486,0
13.902,-0.1097,-0.1552,4.8119,1.354,0
14.003,-0.1271,-0.1413,4.8309,2.080,0
14.103,-0.1108,-0.1321,4.7303,1.475,0
14.202,-0.1360,-0.1169,4.8081,1.826,0
14.303,-0.1497,-0.1523,4.8235,2.347,0
14.403,-0.1431,-0.1425,4.8049,2.120,0
14.502,-0.1214,-0.1429,4.8160,1.418,0
14.602,-0.1473,-0.1355,4.8176,1.689,0
14.703,-0.1056,-0.1296,4.7847,1.774,0
14.802,-0.1185,-0.1802,4.8059,1.654,0
14.902,-0.1438,-0.1287,4.8297,1.452,0
15.002,-0.1286,-0.1447,4.8264,1.408,0
15.102,-0.1232,-0.2139,4.8169,1.423,0
15.203,-0.1528,-0.1985,4.8571,2.179,0
15.302,-0.1045,-0.2303,4.8094,1.287,0
15.403,-0.1234,-0.1796,4.8512,1.727,0
15.503,-0.0902,-0.2106,4.8382,1.495,0
15.603,-0.0916,-0.2598,4.8108,2.272,0
15.703,-0.0953,-0.2618,4.8106,1.801,0
15.802,-0.1301,-0.3243,4.8097,1.475,0
15.904,-0.1215,-0.2775,4.8192,2.593,0
16.002,-0.1508,-0.2957,4.8270,1.721,0
16.103,-0.1470,-0.2608,4.7952,1.696,0
16.203,-0.1471,-0.2847,4.8243,2.452,0
16.303,-0.1411,-0.2483,4.8422,1.797,0
16.403,-0.1382,-0.2535,4.8484,1.938,0
16.503,-0.1586,-0.2775,4.8596,2.072,0
16.604,-0.1484,-0.3063,4.8236,3.279,0
16.703,-0.1351,-0.2395,4.8682,1.953,0
16.803,-0.1371,-0.2579,4.8349,1.656,0
16.903,-0.1262,-0.3125,4.8078,1.978,0
17.002,-0.1049,-0.2948,4.7881,1.501,0
17.104,-0.1067,-0.2359,4.7832,3.103,0
17.202,-0.1038,-0.2694,4.7903,1.741,0
17.302,-0.1031,-0.2364,4.7982,1.340,0
17.403,-0.1094,-0.2873,4.8147,2.361,0
17.504,-0.0868,-0.2624,4.8071,2.843,0
17.604,-0.0989,-0.2915,4.8058,3.178,0
17.702,-0.1111,-0.2893,4.8236,1.404,0
17.803,-0.0885,-0.2627,4.7951,2.148,0
17.904,-0.0901,-0.2731,4.8020,2.227,0
18.003,-0.0727,-0.2932,4.7782,1.993,0
18.104,-0.0893,-0.2848,4.8116,2.560,0
18.204,-0.1227,-0.2623,4.8517,3.043,0
18.304,-0.1396,-0.2869,4.8627,2.543,0
18.403,-0.1276,-0.3071,4.8717,2.070,0
18.503,-0.1522,-0.2605,4.8704,1.633,0
18.603,-0.1332,-0.2281,4.8141,2.009,0
18.703,-0.1309,-0.2682,4.8002,2.143,0
18.803,-0.1137,-0.2734,4.8083,1.936,0
18.903,-0.1095,-0.2357,4.8342,1.887,0
19.003,-0.0689,-0.2551,4.8038,2.395,0
19.103,-0.0990,-0.2888,4.8150,1.542,0
19.203,-0.1105,-0.2251,4.8425,1.989,0
19.303,-0.1100,-0.2563,4.8516,2.348,0
19.403,-0.1237,-0.2917,4.8245,2.222,0
19.504,-0.1234,-0.2659,4.8219,2.322,0
19.603,-0.1175,-0.3295,4.8265,1.952,0
19.702,-0.1335,-0.3668,4.8111,1.599,0
19.803,-0.1620,-0.3764,4.8471,1.848,0
19.904,-0.1440,-0.3425,4.8759,2.185,0
20.003,-0.1159,-0.3122,4.8514,1.847,0
20.105,-0.1405,-0.3222,4.8333,3.164,0
20.203,-0.1261,-0.2838,4.8303,1.907,0
20.304,-0.1308,-0.2683,4.8573,2.560,0
20.403,-0.1120,-0.3410,4.8547,2.564,0
20.503,-0.0994,-0.2679,4.8634,1.585,0
20.602,-0.1074,-0.2622,4.8386,1.766,0
20.703,-0.1168,-0.2668,4.8141,2.232,0
20.803,-0.1269,-0.2443,4.8652,2.333,0
