timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,is_logging,num_messages
123580000,74.65234,inf,0,0,32937,1024000,0,3,1,194
124580000,115.3584,115.3584,0,0,1328,1024000,0,3,1,194
125580000,124.46484,62.23242,0,0,1884,1024000,0,3,1,194
126580000,133.05566,44.351887,0,0,1963,1024000,0,3,1,194
127580000,141.72266,35.430664,0,0,1984,1024000,0,3,1,194
128580000,150.41113,30.082228,0,0,1943,1024000,0,3,1,194
129580000,159.05762,26.509604,0,0,1864,1024000,0,3,1,194
130580000,167.7461,23.963728,0,0,1843,1024000,0,3,1,194
131580000,176.39258,22.049072,0,0,1864,1024000,0,3,1,194
132580000,185.07031,20.56337,0,0,1854,1024000,0,3,1,194
133580000,193.61914,19.361914,0,0,1975,1024000,0,3,1,194
134580000,202.30762,18.391602,0,0,1954,1024000,0,3,1,194
135580000,210.9541,17.579508,0,0,1975,1024000,0,3,1,194
136580000,219.64258,16.895582,0,0,1854,1024000,0,3,1,194
137580000,228.28906,16.30636,0,0,1864,1024000,0,3,1,194
138580000,236.97754,15.798502,0,0,1843,1024000,0,3,1,194
139580000,245.62402,15.351501,0,0,1864,1024000,0,3,1,194
140580000,254.21484,14.9538145,0,0,1943,1024000,0,3,1,194
141580000,262.86133,14.603407,0,0,1964,1024000,0,3,1,194
142580000,271.5498,14.292094,0,0,1843,1024000,0,3,1,194
143580000,280.1963,14.009814,0,0,1864,1024000,0,3,1,194
144580000,288.88477,13.756417,0,0,1843,1024000,0,3,1,194
145580000,297.5205,13.52366,0,0,1875,1024000,0,3,1,194
146580000,306.18457,13.312373,0,0,1879,1024000,0,3,1,194
147580000,314.7334,13.113892,0,0,2000,1024000,0,3,1,194
148580000,323.42188,12.936875,0,0,1979,1024000,0,3,1,194
149580000,332.06836,12.77186,0,0,1900,1024000,0,3,1,194
150580000,340.75684,12.620624,0,0,1868,1024000,0,3,1,194
151580000,349.40332,12.47869,0,0,1864,1024000,0,3,1,194
152580000,358.0918,12.347994,0,0,1843,1024000,0,3,1,194
153580000,366.73828,12.224609,0,0,1864,1024000,0,3,1,194
154580000,375.3291,12.10739,0,0,1943,1024000,0,3,1,194
155580000,383.9756,11.999237,0,0,1964,1024000,0,3,1,194
156580000,392.24902,11.886334,0,0,2268,1024000,0,3,1,194
157580000,400.8955,11.791044,0,0,2289,1024000,0,3,1,194
158580000,409.57324,11.702093,0,0,2279,1024000,0,3,1,194
159580000,418.21973,11.617214,0,0,2300,1024000,0,3,1,194
160580000,426.81055,11.53542,0,0,2379,1024000,0,3,1,194
161580000,435.45703,11.459395,0,0,2400,1024000,0,3,1,194
162580000,444.1455,11.388347,0,0,2379,1024000,0,3,1,194
163580000,452.792,11.3198,0,0,2289,1024000,0,3,1,194
164580000,461.48047,11.255622,0,0,2268,1024000,0,3,1,194
165580000,470.12695,11.193499,0,0,2289,1024000,0,3,1,194
166580000,478.7959,11.1347885,0,0,2288,1024000,0,3,1,194
167580000,487.34473,11.076016,0,0,2409,1024000,0,3,1,194
168580000,496.0332,11.022961,0,0,2388,1024000,0,3,1,194
169580000,504.6797,10.971297,0,0,2309,1024000,0,3,1,194
170580000,513.36816,10.922727,0,0,2288,1024000,0,3,1,194
171580000,522.0039,10.875081,0,0,2320,1024000,0,3,1,194
172580000,530.66797,10.829959,0,0,2324,1024000,0,3,1,194
173580000,539.31445,10.786288,0,0,2345,1024000,0,3,1,194
174580000,547.9053,10.74324,0,0,2424,1024000,0,3,1,194
175580000,556.55176,10.702918,0,0,2445,1024000,0,3,1,194
176580000,565.24023,10.66491,0,0,2313,1024000,0,3,1,194
177580000,573.8867,10.627532,0,0,1884,1024000,0,3,1,194
178580000,582.5752,10.592276,0,0,1863,1024000,0,3,1,194
179580000,591.2217,10.55753,0,0,1884,1024000,0,3,1,194
180580000,599.8125,10.5230255,0,0,1963,1024000,0,3,1,194
181580000,608.459,10.490672,0,0,1984,1024000,0,3,1,194
182580000,617.14746,10.460126,0,0,1963,1024000,0,3,1,194
