timestamp,load,ram_usage
123372000,0.10526316,0.11675861
123872000,0.16,0.11699268
124372000,0.12,0.11700759
124872000,0.14,0.11700709
125372000,0.16,0.1170225
125872000,0.12,0.11712811
126372000,0.14,0.11722204
126872000,0.14,0.1172531
127372000,0.12,0.11725285
127872000,0.14,0.11726826
128372000,0.12,0.11728143
128872000,0.14,0.11728143
129372000,0.14,0.1174422
129872000,0.14,0.11748867
130372000,0.14,0.11755079
130872000,0.12,0.117588066
131372000,0.16,0.11747426
131872000,0.12,0.11753489
132372000,0.14,0.11759676
132872000,0.12,0.11762782
133372000,0.12,0.1176723
133872000,0.14,0.11771877
134372000,0.12,0.11776499
134872000,0.14,0.11779605
135372000,0.14,0.117887
135872000,0.14,0.11791756
136372000,0.12,0.11797919
136872000,0.14,0.11802591
137372000,0.12,0.11807188
137872000,0.16,0.11810244
138372000,0.14,0.118149154
138872000,0.1,0.11821053
139372000,0.14,0.11825725
139872000,0.14,0.1184133
140372000,0.14,0.11834646
140872000,0.14,0.118392676
141372000,0.16,0.118455045
141872000,0.12,0.1184789
142372000,0.12,0.11856736
142872000,0.12,0.118613586
143372000,0.12,0.1186598
143872000,0.14,0.11870577
144372000,0.12,0.11878206
144872000,0.12,0.11878206
145372000,0.12,0.11881312
145872000,0.12,0.118843436
146372000,0.12,0.11892072
146872000,0.14,0.11893538
147372000,0.14,0.11893513
147872000,0.14,0.11893041
148372000,0.14,0.11893016
148872000,0.1,0.11896122
149372000,0.14,0.11902061
149872000,0.12,0.119031295
150372000,0.14,0.119077265
150872000,0.12,0.11910833
151372000,0.12,0.11910808
151872000,0.14,0.1191384
152372000,0.12,0.11915206
152872000,0.12,0.119165726
153372000,0.14,0.11917592
153872000,0.12,0.11923829
154372000,0.14,0.1192691
154872000,0.12,0.11933147
155372000,0.12,0.11936253
155872000,0.14,0.11942441
156372000,0.12,0.11946938
156872000,0.14,0.1194997
157372000,0.1,0.11953076
157872000,0.16,0.119577475
158372000,0.14,0.11963861
158872000,0.08,0.11971614
159372000,0.12,0.1197472
159872000,0.14,0.11976211
160372000,0.12,0.11994102
160872000,0.12,0.11982299
161372000,0.12,0.11989927
161872000,0.14,0.119929835
162372000,0.14,0.119953446
162872000,0.12,0.11995319
163372000,0.14,0.119984254
163872000,0.14,0.11998401
164372000,0.14,0.120014325
164872000,0.14,0.120107755
165372000,0.14,0.12013087
165872000,0.14,0.120162174
166372000,0.14,0.1202243
166872000,0.14,0.12023995
167372000,0.1,0.12031549
167872000,0.14,0.1203468
168372000,0.14,0.120377615
168872000,0.14,0.12043949
169372000,0.12,0.12045489
169872000,0.12,0.12048621
170372000,0.14,0.12078116
170872000,0.12,0.12081222
171372000,0.12,0.1208741
171872000,0.14,0.12093945
172372000,0.12,0.12098666
172872000,0.14,0.12101798
173372000,0.12,0.12103263
173872000,0.14,0.12090267
174372000,0.14,0.12097871
174872000,0.12,0.12104108
175372000,0.14,0.12111837
175872000,0.16,0.12111837
176372000,0.12,0.121149674
176872000,0.14,0.12118098
177372000,0.14,0.12124286
177872000,0.16,0.12130523
178372000,0.14,0.12136785
178872000,0.14,0.12141432
179372000,0.16,0.12147693
179872000,0.14,0.12153906
180372000,0.12,0.12160143
180872000,0.14,0.12181538
181372000,0.14,0.121862344
181872000,0.14,0.12190931
182372000,0.12,0.12197143
182872000,0.12,0.12203405
183372000,0.16,0.12211307
183872000,0.14,0.12217544
184372000,0.14,0.12285183
184872000,0.12,0.1229142
185372000,0.12,0.122976825
185872000,0.08,0.12303919
186372000,0.14,0.12310156
186872000,0.16,0.12310132
187372000,0.12,0.123241715
187872000,0.14,0.12330235
188372000,0.14,0.12339628
188872000,0.14,0.1234584
189372000,0.16,0.12353642
189872000,0.14,0.12358289
190372000,0.14,0.12362985
190872000,0.14,0.12379187
191372000,0.14,0.12387015
191872000,0.14,0.12376901
192372000,0.1,0.123865925
192872000,0.14,0.12394345
193372000,0.14,0.12397402
193872000,0.14,0.12405055
194372000,0.14,0.124097265
194872000,0.14,0.124143235
195372000,0.16,0.12418995
195872000,0.14,0.12425158
196372000,0.14,0.12431395
196872000,0.14,0.12437458
197372000,0.14,0.124421544
197872000,0.14,0.12448317
198372000,0.14,0.1245612
198872000,0.14,0.12460717
199372000,0.16,0.12471476
199872000,0.14,0.12474508
200372000,0.14,0.1248077
200872000,0.12,0.12488349
201372000,0.16,0.124912314
201872000,0.12,0.12504575
202372000,0.14,0.12504575
202872000,0.14,0.12507607
203372000,0.14,0.1251054
203872000,0.14,0.125212
204372000,0.14,0.12525871
204872000,0.14,0.12528902
205372000,0.14,0.12535089
205872000,0.14,0.12539712
206372000,0.14,0.12547465
206872000,0.14,0.12552062
207372000,0.16,0.125583
207872000,0.14,0.12565754
208372000,0.12,0.1257045
208872000,0.14,0.12578154
209372000,0.14,0.1258275
209872000,0.14,0.12585807
210372000,0.12,0.12593609
210872000,0.14,0.12599821
211372000,0.14,0.1258618
211872000,0.14,0.12592366
212372000,0.12,0.12600194
212872000,0.14,0.12600194
213372000,0.14,0.12606382
213872000,0.12,0.1261098
214372000,0.14,0.12617216
214872000,0.14,0.12623379
215372000,0.16,0.12630883
215872000,0.14,0.1263399
216372000,0.14,0.12637046
216872000,0.14,0.12641717
217372000,0.14,0.12641643
217872000,0.14,0.12644748
218372000,0.14,0.12655458
218872000,0.14,0.12660155
219372000,0.12,0.12664777
219872000,0.14,0.12669474
220372000,0.16,0.12674071
220872000,0.14,0.12677152
221372000,0.16,0.12683314
221872000,0.14,0.12713233
222372000,0.12,0.1271942
222872000,0.14,0.12728763
223372000,0.1,0.12736566
223872000,0.14,0.12742753
224372000,0.12,0.12745884
224872000,0.14,0.12649222
225372000,0.14,0.12655483
225872000,0.1,0.12669572
226372000,0.1,0.1267894
226872000,0.12,0.12681277
227372000,0.16,0.12681277
227872000,0.14,0.12684408
228372000,0.14,0.12692161
228872000,0.16,0.12696758
229372000,0.14,0.12704585
229872000,0.16,0.12709257
230372000,0.14,0.12715444
230872000,0.14,0.12721705
231372000,0.14,0.12724838
231872000,0.14,0.12737411
232372000,0.14,0.12746605
232872000,0.14,0.12752643
233372000,0.16,0.12758905
233872000,0.14,0.12767752
234372000,0.16,0.12770882
234872000,0.14,0.1277871
235372000,0.16,0.12784971
235872000,0.16,0.12788102
236372000,0.16,0.12794365
236872000,0.14,0.12800626
237372000,0.16,0.12805149
237872000,0.16,0.12806664
238372000,0.16,0.12815884
238872000,0.14,0.12819014
239372000,0.14,0.12828408
239872000,0.18,0.12834644
240372000,0.1,0.12840907
240872000,0.08,0.12847169
241372000,0.1,0.12956057
241872000,0.12,0.1294306
242372000,0.1,0.12957945
242872000,0.1,0.12961076
243372000,0.1,0.12970495
243872000,0.1,0.12973626
244372000,0.12,0.12981428
244872000,0.1,0.12984534
245372000,0.08,0.12989827
245872000,0.1,0.12992959
246372000,0.1,0.1299922
246872000,0.1,0.13002351
247372000,0.1,0.13002351
247872000,0.08,0.13004737
248372000,0.1,0.13010974
248872000,0.1,0.1301408
249372000,0.1,0.13018776
249872000,0.08,0.13017112
250372000,0.1,0.13023373
250872000,0.08,0.1303115
251372000,0.1,0.13037363
251872000,0.1,0.13040495
252372000,0.08,0.130436
252872000,0.1,0.130436
253372000,0.1,0.130436
253872000,0.08,0.13048223
254372000,0.1,0.13058932
254872000,0.08,0.13058932
255372000,0.08,0.13065119
255872000,0.1,0.13068251
256372000,0.1,0.13069667
256872000,0.08,0.13075905
257372000,0.1,0.1308055
257872000,0.08,0.13083658
258372000,0.08,0.13079035
258872000,0.1,0.13088278
259372000,0.08,0.13094491
259872000,0.1,0.13099162
260372000,0.06,0.13103735
260872000,0.08,0.13109799
261372000,0.1,0.13115986
261872000,0.08,0.13127714
262372000,0.12,0.13233247
262872000,0.1,0.13202013
