timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_flarm,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,open_drone_id_system_healthy,parachute_system_healthy
124364000,4000000.0,1.0,685.259,0.0,31,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124620000,4000000.0,1.0,685.259,0.0,37,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125876000,4000000.0,1.0,1141.4343,0.0,88,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127132000,4000000.0,1.0,617.5299,0.0,121,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128388000,4000000.0,1.0,604.58167,0.0,163,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129388000,4000000.0,1.0,658.3666,0.0,193,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129644000,4000000.0,1.0,658.3666,0.0,199,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130900000,4000000.0,1.0,620.51794,0.0,233,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132156000,4000000.0,1.0,645.41833,0.0,268,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133416000,4000000.0,1.0,662.35065,0.0,311,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134416000,4000000.0,1.0,621.514,0.0,339,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134668000,4000000.0,1.0,621.514,0.0,345,0,0.0,0,0,0,0,0,0.0,0,0,0,1,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
