timestamp,defer_failsafes_timeout_s,disable_auto_disarm,defer_failsafes,disable_auto_set_home,source_type,source_id
123544000,0,0,0,0,0,0
124048000,0,0,0,0,0,0
124552000,0,0,0,0,0,0
125056000,0,0,0,0,0,0
125560000,0,0,0,0,0,0
126064000,0,0,0,0,0,0
126568000,0,0,0,0,0,0
127072000,0,0,0,0,0,0
127576000,0,0,0,0,0,0
128080000,0,0,0,0,0,0
128584000,0,0,0,0,0,0
129088000,0,0,0,0,0,0
129592000,0,0,0,0,0,0
130096000,0,0,0,0,0,0
130600000,0,0,0,0,0,0
131104000,0,0,0,0,0,0
131608000,0,0,0,0,0,0
132112000,0,0,0,0,0,0
132616000,0,0,0,0,0,0
133120000,0,0,0,0,0,0
133624000,0,0,0,0,0,0
134128000,0,0,0,0,0,0
134632000,0,0,0,0,0,0
135136000,0,0,0,0,0,0
135640000,0,0,0,0,0,0
136144000,0,0,0,0,0,0
136648000,0,0,0,0,0,0
137152000,0,0,0,0,0,0
137656000,0,0,0,0,0,0
138160000,0,0,0,0,0,0
138664000,0,0,0,0,0,0
139168000,0,0,0,0,0,0
139672000,0,0,0,0,0,0
140176000,0,0,0,0,0,0
140680000,0,0,0,0,0,0
141184000,0,0,0,0,0,0
141688000,0,0,0,0,0,0
142192000,0,0,0,0,0,0
142696000,0,0,0,0,0,0
143200000,0,0,0,0,0,0
143704000,0,0,0,0,0,0
144208000,0,0,0,0,0,0
144712000,0,0,0,0,0,0
145216000,0,0,0,0,0,0
145720000,0,0,0,0,0,0
146224000,0,0,0,0,0,0
146728000,0,0,0,0,0,0
147232000,0,0,0,0,0,0
147736000,0,0,0,0,0,0
148240000,0,0,0,0,0,0
148744000,0,0,0,0,0,0
149248000,0,0,0,0,0,0
149752000,0,0,0,0,0,0
150256000,0,0,0,0,0,0
150760000,0,0,0,0,0,0
151264000,0,0,0,0,0,0
151768000,0,0,0,0,0,0
152272000,0,0,0,0,0,0
152776000,0,0,0,0,0,0
153280000,0,0,0,0,0,0
153784000,0,0,0,0,0,0
154288000,0,0,0,0,0,0
154792000,0,0,0,0,0,0
155296000,0,0,0,0,0,0
155800000,0,0,0,0,0,0
156304000,0,0,0,0,0,0
156808000,0,0,0,0,0,0
157312000,0,0,0,0,0,0
157816000,0,0,0,0,0,0
158320000,0,0,0,0,0,0
158824000,0,0,0,0,0,0
159328000,0,0,0,0,0,0
159832000,0,0,0,0,0,0
160336000,0,0,0,0,0,0
160840000,0,0,0,0,0,0
161344000,0,0,0,0,0,0
161848000,0,0,0,0,0,0
162352000,0,0,0,0,0,0
162856000,0,0,0,0,0,0
163360000,0,0,0,0,0,0
163864000,0,0,0,0,0,0
164368000,0,0,0,0,0,0
164872000,0,0,0,0,0,0
165376000,0,0,0,0,0,0
165880000,0,0,0,0,0,0
166384000,0,0,0,0,0,0
166888000,0,0,0,0,0,0
167392000,0,0,0,0,0,0
167896000,0,0,0,0,0,0
168400000,0,0,0,0,0,0
168904000,0,0,0,0,0,0
169408000,0,0,0,0,0,0
169912000,0,0,0,0,0,0
170416000,0,0,0,0,0,0
170920000,0,0,0,0,0,0
171424000,0,0,0,0,0,0
171928000,0,0,0,0,0,0
172432000,0,0,0,0,0,0
172936000,0,0,0,0,0,0
173440000,0,0,0,0,0,0
173944000,0,0,0,0,0,0
174448000,0,0,0,0,0,0
174952000,0,0,0,0,0,0
175456000,0,0,0,0,0,0
175960000,0,0,0,0,0,0
176464000,0,0,0,0,0,0
176968000,0,0,0,0,0,0
177472000,0,0,0,0,0,0
177976000,0,0,0,0,0,0
178480000,0,0,0,0,0,0
178984000,0,0,0,0,0,0
179488000,0,0,0,0,0,0
179992000,0,0,0,0,0,0
180496000,0,0,0,0,0,0
181000000,0,0,0,0,0,0
181504000,0,0,0,0,0,0
182008000,0,0,0,0,0,0
182512000,0,0,0,0,0,0
183016000,0,0,0,0,0,0
183520000,0,0,0,0,0,0
184024000,0,0,0,0,0,0
184528000,0,0,0,0,0,0
185032000,0,0,0,0,0,0
185536000,0,0,0,0,0,0
186040000,0,0,0,0,0,0
186544000,0,0,0,0,0,0
187048000,0,0,0,0,0,0
187552000,0,0,0,0,0,0
188056000,0,0,0,0,0,0
188560000,0,0,0,0,0,0
189064000,0,0,0,0,0,0
189568000,0,0,0,0,0,0
190072000,0,0,0,0,0,0
190576000,0,0,0,0,0,0
191080000,0,0,0,0,0,0
191584000,0,0,0,0,0,0
192088000,0,0,0,0,0,0
192592000,0,0,0,0,0,0
193096000,0,0,0,0,0,0
193600000,0,0,0,0,0,0
194104000,0,0,0,0,0,0
194608000,0,0,0,0,0,0
195112000,0,0,0,0,0,0
195616000,0,0,0,0,0,0
196120000,0,0,0,0,0,0
196624000,0,0,0,0,0,0
197128000,0,0,0,0,0,0
197632000,0,0,0,0,0,0
198136000,0,0,0,0,0,0
198640000,0,0,0,0,0,0
199144000,0,0,0,0,0,0
199648000,0,0,0,0,0,0
200152000,0,0,0,0,0,0
200656000,0,0,0,0,0,0
201160000,0,0,0,0,0,0
201664000,0,0,0,0,0,0
202168000,0,0,0,0,0,0
202672000,0,0,0,0,0,0
203176000,0,0,0,0,0,0
203680000,0,0,0,0,0,0
204184000,0,0,0,0,0,0
204688000,0,0,0,0,0,0
205192000,0,0,0,0,0,0
205696000,0,0,0,0,0,0
206200000,0,0,0,0,0,0
206704000,0,0,0,0,0,0
207208000,0,0,0,0,0,0
207712000,0,0,0,0,0,0
208216000,0,0,0,0,0,0
208720000,0,0,0,0,0,0
209224000,0,0,0,0,0,0
209728000,0,0,0,0,0,0
210232000,0,0,0,0,0,0
