timestamp,safe_points_id,is_evaluation_pending,has_vtol_approach,rtl_type,safe_point_index
123180000,0,1,0,1,255
125668000,0,0,0,1,255
127684000,0,0,0,1,255
129700000,0,0,0,1,255
131716000,0,0,0,1,255
133732000,0,0,0,1,255
135748000,0,0,0,1,255
137764000,0,0,0,1,255
139780000,0,0,0,1,255
141796000,0,0,0,1,255
143812000,0,0,0,1,255
145828000,0,0,0,1,255
147844000,0,0,0,1,255
149860000,0,0,0,1,255
151876000,0,0,0,1,255
153892000,0,0,0,1,255
155908000,0,0,0,1,255
157924000,0,0,0,1,255
159940000,0,0,0,1,255
161956000,0,0,0,1,255
163972000,0,0,0,1,255
165988000,0,0,0,1,255
168004000,0,0,0,1,255
170020000,0,0,0,1,255
172036000,0,0,0,1,255
174052000,0,0,0,1,255
176068000,0,0,0,1,255
178084000,0,0,0,1,255
180100000,0,0,0,1,255
182116000,0,0,0,1,255
184132000,0,0,0,1,255
186148000,0,0,0,1,255
188164000,0,0,0,1,255
190180000,0,0,0,1,255
192196000,0,0,0,1,255
194212000,0,0,0,1,255
196228000,0,0,0,1,255
198244000,0,0,0,1,255
200260000,0,0,0,1,255
202276000,0,0,0,1,255
204292000,0,0,0,1,255
206308000,0,0,0,1,255
208324000,0,0,0,1,255
210340000,0,0,0,1,255
212356000,0,0,0,1,255
214372000,0,0,0,1,255
216388000,0,0,0,1,255
218404000,0,0,0,1,255
220420000,0,0,0,1,255
222436000,0,0,0,1,255
224452000,0,0,0,1,255
226468000,0,0,0,1,255
228484000,0,0,0,1,255
230500000,0,0,0,1,255
232516000,0,0,0,1,255
234532000,0,0,0,1,255
236548000,0,0,0,1,255
238564000,0,0,0,1,255
240580000,0,0,0,1,255
242596000,0,0,0,1,255
244612000,0,0,0,1,255
246628000,0,0,0,1,255
248644000,0,0,0,1,255
250660000,0,0,0,1,255
252676000,0,0,0,1,255
254692000,0,0,0,1,255
256708000,0,0,0,1,255
258724000,0,0,0,1,255
260740000,0,0,0,1,255
262756000,0,0,0,1,255
264772000,0,0,0,1,255
266788000,0,0,0,1,255
268804000,0,0,0,1,255
270820000,0,0,0,1,255
272836000,0,0,0,1,255
274852000,0,0,0,1,255
276868000,0,0,0,1,255
278884000,0,0,0,1,255
280900000,0,0,0,1,255
282916000,0,0,0,1,255
284932000,0,0,0,1,255
286948000,0,0,0,1,255
288964000,0,0,0,1,255
290980000,0,0,0,1,255
292996000,0,0,0,1,255
295012000,0,0,0,1,255
297028000,0,0,0,1,255
299044000,0,0,0,1,255
301060000,0,0,0,1,255
303076000,0,0,0,1,255
305092000,0,0,0,1,255
307108000,0,0,0,1,255
309124000,0,0,0,1,255
311140000,0,0,0,1,255
313156000,0,0,0,1,255
315172000,0,0,0,1,255
317188000,0,0,0,1,255
319204000,0,0,0,1,255
321220000,0,0,0,1,255
323236000,0,0,0,1,255
325252000,0,0,0,1,255
327268000,0,0,0,1,255
329284000,0,0,0,1,255
331300000,0,0,0,1,255
333316000,0,0,0,1,255
335332000,0,0,0,1,255
337348000,0,0,0,1,255
339364000,0,0,0,1,255
341380000,0,0,0,1,255
343396000,0,0,0,1,255
345412000,0,0,0,1,255
347428000,0,0,0,1,255
349444000,0,0,0,1,255
351460000,0,0,0,1,255
353476000,0,0,0,1,255
355492000,0,0,0,1,255
357508000,0,0,0,1,255
359524000,0,0,0,1,255
361540000,0,0,0,1,255
363556000,0,0,0,1,255
365572000,0,0,0,1,255
367588000,0,0,0,1,255
369604000,0,0,0,1,255
371620000,0,0,0,1,255
373636000,0,0,0,1,255
375652000,0,0,0,1,255
377668000,0,0,0,1,255
379684000,0,0,0,1,255
381700000,0,0,0,1,255
383716000,0,0,0,1,255
385732000,0,0,0,1,255
387748000,0,0,0,1,255
389764000,0,0,0,1,255
391780000,0,0,0,1,255
393796000,0,0,0,1,255
395812000,0,0,0,1,255
397828000,0,0,0,1,255
399844000,0,0,0,1,255
401860000,0,0,0,1,255
403876000,0,0,0,1,255
405892000,0,0,0,1,255
